problem_family,base_setting,seed,source_algo,checkpoint_step,checkpoint_loss,continuation_horizon,continuation_variant,continuation_algo,continuation_lr,loss_before,loss_after,total_decrease,recovery_after,finite
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,3,0.00011891317213957395,30,own_fresh,Adam,0.01,0.00011891317213957395,2.1120673886469734e-06,0.00011680110475092698,0.11873504762709065,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,3,0.00011891317213957395,30,switched_fresh,Muon,0.01,0.00011891317213957395,6.810130079210311e-07,0.00011823215913165291,0.06511873239933456,True
MatrixFactorizationInput,MF input kappa=1e+02,1,Adam,3,0.00010820946606687405,30,own_fresh,Adam,0.01,0.00010820946606687405,1.6623415685433424e-06,0.00010654712449833071,0.110019123179777,True
MatrixFactorizationInput,MF input kappa=1e+02,1,Adam,3,0.00010820946606687405,30,switched_fresh,Muon,0.01,0.00010820946606687405,8.590227413596726e-07,0.00010735044332551438,0.07210025376434548,True
MatrixFactorizationInput,MF input kappa=1e+02,2,Adam,3,0.00011279340941398702,30,own_fresh,Adam,0.01,0.00011279340941398702,1.374676624136797e-06,0.00011141873278985023,0.09888660256124986,True
MatrixFactorizationInput,MF input kappa=1e+02,2,Adam,3,0.00011279340941398702,30,switched_fresh,Muon,0.01,0.00011279340941398702,9.412890232963744e-07,0.00011185212039069065,0.0774741384119287,True
MatrixFactorizationInput,MF input kappa=1e+02,3,Adam,3,0.00012099468907843818,30,own_fresh,Adam,0.01,0.00012099468907843818,1.971058650536952e-06,0.00011902363042790122,0.1159898818304406,True
MatrixFactorizationInput,MF input kappa=1e+02,3,Adam,3,0.00012099468907843818,30,switched_fresh,Muon,0.01,0.00012099468907843818,8.273357298245969e-07,0.00012016735334861358,0.06986907940616813,True
MatrixFactorizationInput,MF input kappa=1e+02,4,Adam,3,0.00011761284773264642,30,own_fresh,Adam,0.01,0.00011761284773264642,1.495381304949426e-06,0.00011611746642769699,0.10433471693887393,True
MatrixFactorizationInput,MF input kappa=1e+02,4,Adam,3,0.00011761284773264642,30,switched_fresh,Muon,0.01,0.00011761284773264642,9.118402550417005e-07,0.00011670100747760472,0.07731848274616326,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Muon,3,0.0001513786363547434,30,own_fresh,Muon,0.01,0.0001513786363547434,2.079026123022618e-06,0.00014929961023172077,0.13866164102738324,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Muon,3,0.0001513786363547434,30,switched_fresh,Adam,0.01,0.0001513786363547434,2.099957487546832e-06,0.00014927867886719656,0.12145974059880527,True
MatrixFactorizationInput,MF input kappa=1e+02,1,Muon,3,0.00015852310925605132,30,own_fresh,Muon,0.01,0.00015852310925605132,1.6120306866349824e-06,0.00015691107856941633,0.11078358771870281,True
MatrixFactorizationInput,MF input kappa=1e+02,1,Muon,3,0.00015852310925605132,30,switched_fresh,Adam,0.01,0.00015852310925605132,1.8719489972719929e-06,0.00015665116025877934,0.11609596818420018,True
MatrixFactorizationInput,MF input kappa=1e+02,2,Muon,3,0.0001477952429329342,30,own_fresh,Muon,0.01,0.0001477952429329342,2.1029010834033707e-06,0.00014569234184953083,0.12995565329531764,True
MatrixFactorizationInput,MF input kappa=1e+02,2,Muon,3,0.0001477952429329342,30,switched_fresh,Adam,0.01,0.0001477952429329342,1.854115146031144e-06,0.00014594112778690307,0.1163707757931146,True
MatrixFactorizationInput,MF input kappa=1e+02,3,Muon,3,0.0001598111868880388,30,own_fresh,Muon,0.01,0.0001598111868880388,1.6565403089369862e-06,0.00015815464657910181,0.11152224436277175,True
MatrixFactorizationInput,MF input kappa=1e+02,3,Muon,3,0.0001598111868880388,30,switched_fresh,Adam,0.01,0.0001598111868880388,2.8013753404336575e-06,0.00015700981154760516,0.1392067697000836,True
MatrixFactorizationInput,MF input kappa=1e+02,4,Muon,3,0.0001461819939042717,30,own_fresh,Muon,0.03,0.0001461819939042717,3.166606237825854e-06,0.00014301538766644585,0.1408356605929613,True
MatrixFactorizationInput,MF input kappa=1e+02,4,Muon,3,0.0001461819939042717,30,switched_fresh,Adam,0.01,0.0001461819939042717,1.8001752768291714e-06,0.00014438181862744254,0.11327384286342784,True
MatrixFactorizationInput,MF input kappa=1e+05,0,Adam,3,0.00010715205266183104,30,own_fresh,Adam,0.01,0.00010715205266183104,6.67498599827766e-07,0.00010648455406200327,0.07190353752379929,True
MatrixFactorizationInput,MF input kappa=1e+05,0,Adam,3,0.00010715205266183104,30,switched_fresh,Muon,0.01,0.00010715205266183104,1.0976779643644052e-06,0.00010605437469746663,0.08675770048213675,True
MatrixFactorizationInput,MF input kappa=1e+05,1,Adam,3,9.926173248917421e-05,30,own_fresh,Adam,0.01,9.926173248917421e-05,8.331101366146979e-07,9.842862235255952e-05,0.07633606597506211,True
MatrixFactorizationInput,MF input kappa=1e+05,1,Adam,3,9.926173248917421e-05,30,switched_fresh,Muon,0.01,9.926173248917421e-05,6.805403716808284e-07,9.858119211749338e-05,0.06784361972034875,True
MatrixFactorizationInput,MF input kappa=1e+05,2,Adam,3,9.74710501185325e-05,30,own_fresh,Adam,0.01,9.74710501185325e-05,6.56661547154092e-07,9.68143885713784e-05,0.07301887038384064,True
MatrixFactorizationInput,MF input kappa=1e+05,2,Adam,3,9.74710501185325e-05,30,switched_fresh,Muon,0.01,9.74710501185325e-05,7.407578900439122e-07,9.673029222848858e-05,0.07125633966323733,True
MatrixFactorizationInput,MF input kappa=1e+05,3,Adam,3,0.00010780487620490759,30,own_fresh,Adam,0.01,0.00010780487620490759,8.213663729373211e-07,0.00010698350983197028,0.07693853831126461,True
MatrixFactorizationInput,MF input kappa=1e+05,3,Adam,3,0.00010780487620490759,30,switched_fresh,Muon,0.01,0.00010780487620490759,6.355370100953754e-07,0.00010716933919481222,0.06366939885264429,True
MatrixFactorizationInput,MF input kappa=1e+05,4,Adam,3,0.0001066296470051134,30,own_fresh,Adam,0.01,0.0001066296470051134,6.375831927613088e-07,0.00010599206381235209,0.06855765906424162,True
MatrixFactorizationInput,MF input kappa=1e+05,4,Adam,3,0.0001066296470051134,30,switched_fresh,Muon,0.01,0.0001066296470051134,8.207923139187965e-07,0.0001058088546911946,0.07740398867404884,True
MatrixFactorizationInput,MF input kappa=1e+05,0,Muon,3,0.00013686761900357628,30,own_fresh,Muon,0.01,0.00013686761900357628,1.6705556716642013e-06,0.00013519706333191208,0.12387662154797578,True
MatrixFactorizationInput,MF input kappa=1e+05,0,Muon,3,0.00013686761900357628,30,switched_fresh,Adam,0.01,0.00013686761900357628,1.110378602747413e-06,0.00013575724040082888,0.09460978041538204,True
MatrixFactorizationInput,MF input kappa=1e+05,1,Muon,3,0.00014314506972258853,30,own_fresh,Muon,0.01,0.00014314506972258853,7.091001971618462e-07,0.00014243596952542669,0.07657529898676264,True
MatrixFactorizationInput,MF input kappa=1e+05,1,Muon,3,0.00014314506972258853,30,switched_fresh,Adam,0.01,0.00014314506972258853,1.0227011248988311e-06,0.0001421223685976897,0.09030858019418958,True
MatrixFactorizationInput,MF input kappa=1e+05,2,Muon,3,0.00013529688842381008,30,own_fresh,Muon,0.01,0.00013529688842381008,1.067857685837125e-06,0.00013422903073797296,0.09283097880996574,True
MatrixFactorizationInput,MF input kappa=1e+05,2,Muon,3,0.00013529688842381008,30,switched_fresh,Adam,0.01,0.00013529688842381008,1.2019423968025205e-06,0.00013409494602700757,0.09935392872686419,True
MatrixFactorizationInput,MF input kappa=1e+05,3,Muon,3,0.00014562727850744175,30,own_fresh,Muon,0.01,0.00014562727850744175,1.1170428884355445e-06,0.0001445102356190062,0.10062603367795588,True
MatrixFactorizationInput,MF input kappa=1e+05,3,Muon,3,0.00014562727850744175,30,switched_fresh,Adam,0.01,0.00014562727850744175,1.3635920681634725e-06,0.00014426368643927827,0.0995020679492001,True
MatrixFactorizationInput,MF input kappa=1e+05,4,Muon,3,0.00013268513551050793,30,own_fresh,Muon,0.03,0.00013268513551050793,2.415281402993362e-06,0.00013026985410751458,0.1292377981096756,True
MatrixFactorizationInput,MF input kappa=1e+05,4,Muon,3,0.00013268513551050793,30,switched_fresh,Adam,0.01,0.00013268513551050793,1.2593642109278561e-06,0.00013142577129958007,0.09995139815856735,True
MatrixSensing,Matrix sensing kappa=1e+02,0,Adam,3,0.005210448609248181,30,own_fresh,Adam,0.003,0.005210448609248181,2.9890028300161084e-05,0.00518055858094802,1.1350505082295144,True
MatrixSensing,Matrix sensing kappa=1e+02,0,Adam,3,0.005210448609248181,30,switched_fresh,Muon,0.003,0.005210448609248181,1.1096433264897958e-05,0.005199352175983283,1.1299813728198291,True
MatrixSensing,Matrix sensing kappa=1e+02,1,Adam,3,0.005056093402762189,30,own_fresh,Adam,0.003,0.005056093402762189,2.902648322943808e-05,0.005027066919532751,1.1594385989070584,True
MatrixSensing,Matrix sensing kappa=1e+02,1,Adam,3,0.005056093402762189,30,switched_fresh,Muon,0.003,0.005056093402762189,1.0678108664291798e-05,0.005045415294097897,1.1516081229944632,True
MatrixSensing,Matrix sensing kappa=1e+02,2,Adam,3,0.00496028873355911,30,own_fresh,Adam,0.003,0.00496028873355911,3.708937679672383e-05,0.004923199356762387,1.1273085336182287,True
MatrixSensing,Matrix sensing kappa=1e+02,2,Adam,3,0.00496028873355911,30,switched_fresh,Muon,0.003,0.00496028873355911,7.470976502017671e-06,0.004952817757057092,1.1276625840809105,True
MatrixSensing,Matrix sensing kappa=1e+02,3,Adam,3,0.005061654318795605,30,own_fresh,Adam,0.003,0.005061654318795605,3.43792963922426e-05,0.0050272750224033625,1.1095742936373318,True
MatrixSensing,Matrix sensing kappa=1e+02,3,Adam,3,0.005061654318795605,30,switched_fresh,Muon,0.003,0.005061654318795605,7.157381179926483e-06,0.005054496937615678,1.1088862349427848,True
MatrixSensing,Matrix sensing kappa=1e+02,4,Adam,3,0.005232172796075546,30,own_fresh,Adam,0.003,0.005232172796075546,3.2242413543684317e-05,0.005199930382531861,1.1481110892412834,True
MatrixSensing,Matrix sensing kappa=1e+02,4,Adam,3,0.005232172796075546,30,switched_fresh,Muon,0.003,0.005232172796075546,1.0067708381210173e-05,0.005222105087694336,1.1481316388505725,True
MatrixSensing,Matrix sensing kappa=1e+02,0,Muon,3,0.004715298709383537,30,own_fresh,Muon,0.003,0.004715298709383537,1.0903344611007201e-05,0.00470439536477253,1.1564669863731614,True
MatrixSensing,Matrix sensing kappa=1e+02,0,Muon,3,0.004715298709383537,30,switched_fresh,Adam,0.003,0.004715298709383537,5.556109171538952e-05,0.004659737617668147,1.1111864722874392,True
MatrixSensing,Matrix sensing kappa=1e+02,1,Muon,3,0.0048236221505299015,30,own_fresh,Muon,0.003,0.0048236221505299015,8.611645666287638e-06,0.004815010504863614,1.1820327763296872,True
MatrixSensing,Matrix sensing kappa=1e+02,1,Muon,3,0.0048236221505299015,30,switched_fresh,Adam,0.003,0.0048236221505299015,6.51511937079369e-05,0.004758470956821964,1.1371344214006343,True
MatrixSensing,Matrix sensing kappa=1e+02,2,Muon,3,0.0043467457258584054,30,own_fresh,Muon,0.003,0.0043467457258584054,9.646131437887284e-06,0.0043370995944205185,1.1478625101617312,True
MatrixSensing,Matrix sensing kappa=1e+02,2,Muon,3,0.0043467457258584054,30,switched_fresh,Adam,0.003,0.0043467457258584054,5.38097809492876e-05,0.004292935944909117,1.1049186918267935,True
MatrixSensing,Matrix sensing kappa=1e+02,3,Muon,3,0.004386963691854556,30,own_fresh,Muon,0.003,0.004386963691854556,1.0139050239011441e-05,0.004376824641615545,1.137275312885145,True
MatrixSensing,Matrix sensing kappa=1e+02,3,Muon,3,0.004386963691854556,30,switched_fresh,Adam,0.003,0.004386963691854556,4.605425148517025e-05,0.0043409094403693855,1.088622909161291,True
MatrixSensing,Matrix sensing kappa=1e+02,4,Muon,3,0.0047606310648114865,30,own_fresh,Muon,0.003,0.0047606310648114865,1.170913893802374e-05,0.004748921925873463,1.1649690525949061,True
MatrixSensing,Matrix sensing kappa=1e+02,4,Muon,3,0.0047606310648114865,30,switched_fresh,Adam,0.003,0.0047606310648114865,6.0851582940341795e-05,0.004699779481871145,1.1183005718004155,True
MatrixSensing,Matrix sensing kappa=1e+05,0,Adam,3,0.004762389498645662,30,own_fresh,Adam,0.003,0.004762389498645662,2.924821817443584e-05,0.004733141280471226,1.166258897528514,True
MatrixSensing,Matrix sensing kappa=1e+05,0,Adam,3,0.004762389498645662,30,switched_fresh,Muon,0.003,0.004762389498645662,7.144540657583868e-06,0.004755244957988078,1.1519686005939413,True
MatrixSensing,Matrix sensing kappa=1e+05,1,Adam,3,0.004769739201602011,30,own_fresh,Adam,0.003,0.004769739201602011,3.22032268858066e-05,0.004737535974716205,1.1825826894675837,True
MatrixSensing,Matrix sensing kappa=1e+05,1,Adam,3,0.004769739201602011,30,switched_fresh,Muon,0.003,0.004769739201602011,7.2973941734445624e-06,0.004762441807428567,1.1717530305872543,True
MatrixSensing,Matrix sensing kappa=1e+05,2,Adam,3,0.0046543915671474175,30,own_fresh,Adam,0.003,0.0046543915671474175,4.122486129125315e-05,0.0046131667058561645,1.152165090660907,True
MatrixSensing,Matrix sensing kappa=1e+05,2,Adam,3,0.0046543915671474175,30,switched_fresh,Muon,0.003,0.0046543915671474175,9.271894405923003e-06,0.004645119672741494,1.1488549420540044,True
MatrixSensing,Matrix sensing kappa=1e+05,3,Adam,3,0.004756745239255469,30,own_fresh,Adam,0.003,0.004756745239255469,4.03469886361555e-05,0.004716398250619314,1.127545195317935,True
MatrixSensing,Matrix sensing kappa=1e+05,3,Adam,3,0.004756745239255469,30,switched_fresh,Muon,0.003,0.004756745239255469,8.999518908002093e-06,0.004747745720347467,1.118797198637404,True
MatrixSensing,Matrix sensing kappa=1e+05,4,Adam,3,0.004662207920935512,30,own_fresh,Adam,0.003,0.004662207920935512,3.198408563757078e-05,0.004630223835297941,1.1758836804956299,True
MatrixSensing,Matrix sensing kappa=1e+05,4,Adam,3,0.004662207920935512,30,switched_fresh,Muon,0.003,0.004662207920935512,8.271106554022148e-06,0.004653936814381489,1.1633025958337326,True
MatrixSensing,Matrix sensing kappa=1e+05,0,Muon,3,0.004009297459374054,30,own_fresh,Muon,0.003,0.004009297459374054,7.891558095430885e-06,0.0040014059012786225,1.1792909811391945,True
MatrixSensing,Matrix sensing kappa=1e+05,0,Muon,3,0.004009297459374054,30,switched_fresh,Adam,0.003,0.004009297459374054,3.76693630427999e-05,0.003971628096331254,1.1326174987951492,True
MatrixSensing,Matrix sensing kappa=1e+05,1,Muon,3,0.004286243272425912,30,own_fresh,Muon,0.003,0.004286243272425912,1.1315955513080411e-05,0.0042749273169128315,1.2056833122653359,True
MatrixSensing,Matrix sensing kappa=1e+05,1,Muon,3,0.004286243272425912,30,switched_fresh,Adam,0.003,0.004286243272425912,5.118919721766201e-05,0.00423505407520825,1.1566433184518934,True
MatrixSensing,Matrix sensing kappa=1e+05,2,Muon,3,0.0037580102948140716,30,own_fresh,Muon,0.003,0.0037580102948140716,1.2316043487265604e-05,0.003745694251326806,1.1716966607589232,True
MatrixSensing,Matrix sensing kappa=1e+05,2,Muon,3,0.0037580102948140716,30,switched_fresh,Adam,0.003,0.0037580102948140716,3.0357100579568858e-05,0.0037276531942345027,1.1264460066443267,True
MatrixSensing,Matrix sensing kappa=1e+05,3,Muon,3,0.003944812928361526,30,own_fresh,Muon,0.003,0.003944812928361526,8.805447041765688e-06,0.003936007481319761,1.1557682879183957,True
MatrixSensing,Matrix sensing kappa=1e+05,3,Muon,3,0.003944812928361526,30,switched_fresh,Adam,0.003,0.003944812928361526,4.072461908464969e-05,0.0039040883092768767,1.1037652871718868,True
MatrixSensing,Matrix sensing kappa=1e+05,4,Muon,3,0.00400834687306521,30,own_fresh,Muon,0.003,0.00400834687306521,7.995432882238451e-06,0.004000351440182972,1.1888037521057953,True
MatrixSensing,Matrix sensing kappa=1e+05,4,Muon,3,0.00400834687306521,30,switched_fresh,Adam,0.003,0.00400834687306521,4.128757968149192e-05,0.003967059293383718,1.135999251492317,True
SmallMLPDigits,Small MLP digits hidden=16,0,Adam,3,2.2938467416170822,30,own_fresh,Adam,0.03,2.2938467416170822,0.3762826601847484,1.9175640814323338,0.1162109375,True
SmallMLPDigits,Small MLP digits hidden=16,0,Adam,3,2.2938467416170822,30,switched_fresh,Muon,0.03,2.2938467416170822,1.4885877186765684,0.8052590229405139,0.1298828125,True
SmallMLPDigits,Small MLP digits hidden=16,1,Adam,3,2.289549028796929,30,own_fresh,Adam,0.03,2.289549028796929,0.28030183127707553,2.009247197519853,0.068359375,True
