problem_family,base_setting,seed,source_algo,checkpoint_step,checkpoint_loss,continuation_horizon,continuation_variant,continuation_algo,continuation_lr,loss_before,loss_after,total_decrease,recovery_after,finite
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,3,0.00011891317213957395,30,own_fresh,Adam,0.003,0.00011891317213957395,3.761765205979271e-06,0.00011515140693359467,0.1648417923020326,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,3,0.00011891317213957395,30,own_fresh,Adam,0.01,0.00011891317213957395,2.1120673886469734e-06,0.00011680110475092698,0.11873504762709065,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,3,0.00011891317213957395,30,own_fresh,Adam,0.03,0.00011891317213957395,3.219184903360227e-06,0.00011569398723621372,0.1473287565827695,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,3,0.00011891317213957395,30,switched_fresh,Muon,0.003,0.00011891317213957395,6.038618875578806e-05,5.852698338378589e-05,0.6621253567872502,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,3,0.00011891317213957395,30,switched_fresh,Muon,0.01,0.00011891317213957395,6.810130079210311e-07,0.00011823215913165291,0.06511873239933456,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,3,0.00011891317213957395,30,switched_fresh,Muon,0.03,0.00011891317213957395,5.654123581205935e-06,0.00011325904855836801,0.18566000761863022,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Muon,3,0.0001513786363547434,30,own_fresh,Muon,0.003,0.0001513786363547434,0.00013083535595981955,2.0543280394923842e-05,0.9314799228425428,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Muon,3,0.0001513786363547434,30,own_fresh,Muon,0.01,0.0001513786363547434,2.079026123022618e-06,0.00014929961023172077,0.13866164102738324,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Muon,3,0.0001513786363547434,30,own_fresh,Muon,0.03,0.0001513786363547434,7.307460218889484e-06,0.0001440711761358539,0.21166970679450506,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Muon,3,0.0001513786363547434,30,switched_fresh,Adam,0.003,0.0001513786363547434,6.44999959030723e-06,0.00014492863676443616,0.21787997436167675,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Muon,3,0.0001513786363547434,30,switched_fresh,Adam,0.01,0.0001513786363547434,2.099957487546832e-06,0.00014927867886719656,0.12145974059880527,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Muon,3,0.0001513786363547434,30,switched_fresh,Adam,0.03,0.0001513786363547434,6.0179521309225955e-06,0.0001453606842238208,0.19403500053535916,True
MatrixFactorizationInput,MF input kappa=1e+02,1,Adam,3,0.00010820946606687405,30,own_fresh,Adam,0.003,0.00010820946606687405,3.6350948113736047e-06,0.00010457437125550044,0.16028151512794248,True
MatrixFactorizationInput,MF input kappa=1e+02,1,Adam,3,0.00010820946606687405,30,own_fresh,Adam,0.01,0.00010820946606687405,1.6623415685433424e-06,0.00010654712449833071,0.110019123179777,True
MatrixFactorizationInput,MF input kappa=1e+02,1,Adam,3,0.00010820946606687405,30,own_fresh,Adam,0.03,0.00010820946606687405,2.2099027100228453e-05,8.61104389666456e-05,0.3800954677758393,True
MatrixFactorizationInput,MF input kappa=1e+02,1,Adam,3,0.00010820946606687405,30,switched_fresh,Muon,0.003,0.00010820946606687405,4.2027915597886865e-05,6.618155046898719e-05,0.5328077325524643,True
MatrixFactorizationInput,MF input kappa=1e+02,1,Adam,3,0.00010820946606687405,30,switched_fresh,Muon,0.01,0.00010820946606687405,8.590227413596726e-07,0.00010735044332551438,0.07210025376434548,True
MatrixFactorizationInput,MF input kappa=1e+02,1,Adam,3,0.00010820946606687405,30,switched_fresh,Muon,0.03,0.00010820946606687405,4.74114160959804e-06,0.00010346832445727601,0.16742748800211912,True
