problem_family,base_setting,seed,source_algo,checkpoint_step,remaining_steps,continuation_variant,continuation_algo,loaded_source_optimizer_state,loss_before,loss_after,total_decrease,recovery_before,recovery_after
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,0,10,own_preserved,Adam,True,0.0001532792239327137,1.5386980753242767e-05,0.00013789224317947092,0.9994330499176829,0.3289554348329989
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,0,10,own_fresh,Adam,False,0.0001532792239327137,1.5386980753242767e-05,0.00013789224317947092,0.9994330499176829,0.3289554348329989
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,0,10,switched_fresh,Muon,False,0.0001532792239327137,0.00013824134428778065,1.5037879644933037e-05,0.9994330499176829,0.9546288522014693
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,1,9,own_preserved,Adam,True,0.00014960484497871958,1.5386980753242767e-05,0.0001342178642254768,0.9888351121187269,0.3289554348329989
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,1,9,own_fresh,Adam,False,0.00014960484497871958,1.4469058991257835e-05,0.00013513578598746173,0.9888351121187269,0.31917927829786574
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,1,9,switched_fresh,Muon,False,0.00014960484497871958,0.00012287652233902344,2.6728322639696134e-05,0.9888351121187269,0.9048435415019603
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,3,7,own_preserved,Adam,True,0.00011891317213957395,1.5386980753242767e-05,0.00010352619138633118,0.892549414264497,0.3289554348329989
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,3,7,own_fresh,Adam,False,0.00011891317213957395,1.5756127067266336e-05,0.00010315704507230761,0.892549414264497,0.3300110622396018
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,3,7,switched_fresh,Muon,False,0.00011891317213957395,7.561616132712176e-05,4.3297010812452187e-05,0.892549414264497,0.7310000148988159
MatrixFactorizationInput,MF input kappa=1e+02,0,Muon,0,10,own_preserved,Muon,True,0.0001532792239327137,0.00013824134428778065,1.5037879644933037e-05,0.9994330499176829,0.9546288522014693
MatrixFactorizationInput,MF input kappa=1e+02,0,Muon,0,10,own_fresh,Muon,False,0.0001532792239327137,0.00013824134428778065,1.5037879644933037e-05,0.9994330499176829,0.9546288522014693
MatrixFactorizationInput,MF input kappa=1e+02,0,Muon,0,10,switched_fresh,Adam,False,0.0001532792239327137,1.5386980753242767e-05,0.00013789224317947092,0.9994330499176829,0.3289554348329989
MatrixFactorizationInput,MF input kappa=1e+02,0,Muon,1,9,own_preserved,Muon,True,0.00015276069255121483,0.00013824134428778065,1.4519348263434178e-05,0.9978928458977242,0.9546288522014693
