group_type,group,points,positive_points,spearman_delta_vs_first_order,spearman_ci95_low,spearman_ci95_high,pearson_log_positive,geomean_observed_over_first_order,ratio_ci95_low,ratio_ci95_high,median_abs_log10_ratio,within_factor_2,slope_through_origin
All,All,1350,1338,0.9861711931437731,0.984622955526056,0.9875645232251175,0.9932633320512654,0.9874289062113639,0.9710221898446139,1.0041128359567104,0.022593505463302938,0.9730941704035875,0.977719623893403
family,MatrixFactorizationInput,600,588,0.9038435662321285,0.8880128251431343,0.9175341876225669,0.9690421879898395,0.9818173828998031,0.9455582069198674,1.019466983956823,0.041513808952495616,0.9387755102040817,0.7498950246868492
family,MatrixSensing,450,450,0.9992122430234224,0.9990513700656928,0.999345843344317,0.9995973022320506,0.9642044539749541,0.9611374903750816,0.9672812041722878,0.009697219094951779,1.0,0.9453762271415345
family,SmallMLPDigits,300,300,0.9977564195157723,0.9971815891055557,0.9982141149369852,0.9986594885987624,1.0348135970517238,1.0244885464538385,1.0452427060797576,0.02116442886309542,1.0,1.0569075983072969
algo,Adam,675,663,0.9739779584335622,0.9697859995217039,0.9775949308174935,0.9869963472595306,0.9508834727771336,0.9208885551684209,0.9818553762299029,0.02583442331124047,0.951734539969834,0.9875624933087337
algo,Muon,675,675,0.9987313906008267,0.9985240454384078,0.9989096233762916,0.9989305458605126,1.024691657376493,1.0145495330382874,1.0349351692593596,0.017022800973355765,0.9940740740740741,0.9655170629143622
MatrixFactorizationInput:Adam,MatrixFactorizationInput:Adam,300,288,0.8157508416760186,0.7738235832601469,0.8505606578093373,0.9393219288367337,0.8971111508443423,0.8341756936593392,0.964794854473341,0.04677295317082705,0.8888888888888888,0.5091344366828816
MatrixFactorizationInput:Muon,MatrixFactorizationInput:Muon,300,300,0.9977106412293469,0.9971240987947381,0.9981776670042367,0.9958268291028838,1.0706506882702038,1.0494865088286751,1.0922416692834203,0.0393295928445045,0.9866666666666667,1.008586166662295
MatrixSensing:Adam,MatrixSensing:Adam,225,225,0.999033923303835,0.9987415609226935,0.9992583888367282,0.9995830885304325,0.9641481407550545,0.9596955443604875,0.9686213953831304,0.009635858516604976,1.0,0.9448538322845054
MatrixSensing:Muon,MatrixSensing:Muon,225,225,0.9992688579856722,0.9990475596699111,0.9994387523515068,0.9996120076951839,0.9642607704839529,0.9600136636568816,0.9685266665398481,0.009890989574303236,1.0,0.9458782616924383
SmallMLPDigits:Adam,SmallMLPDigits:Adam,150,150,0.997119871994311,0.9960120638754592,0.9979202629246366,0.9984185394942925,1.0414590547301188,1.0245312788867045,1.0586665190524602,0.02773574089275558,1.0,1.0608057098185228
SmallMLPDigits:Muon,SmallMLPDigits:Muon,150,150,0.9975607804791324,0.996622275911165,0.9982387504851967,0.9989790237772979,1.0282105434482223,1.0162804485450279,1.0402806854856532,0.015298872129055122,1.0,1.0475130223350313
