metric,problem_family,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,delta_ci95_above_zero
delta_loss,All,675,242,433,0.891220201120362,0.8448617485291429,0.9401223907554158,-0.0003922924190526273,-0.0005783747116428818,-0.00020621012646237285,False,False
delta_loss,MatrixFactorizationInput,300,51,249,0.8084752832207842,0.7186098226473474,0.90957883260064,7.144897074939889e-05,2.411931171224152e-05,0.00011877862978655626,False,True
delta_loss,MatrixSensing,225,145,80,1.0083892584369722,1.00244025955597,1.0143735617536742,0.0001082409369839949,3.817162586382185e-05,0.00017831024810416795,True,True
delta_loss,SmallMLPDigits,150,46,104,0.8998223757250108,0.8660007843063225,0.9349648666934713,-0.0020705752327116133,-0.0028395932830247795,-0.001301557182398447,False,False
update_grad_inner,All,675,227,448,0.8017358213440188,0.7758784294516163,0.8284549522538982,-0.0003886201880571326,-0.0005624429465269821,-0.00021479742958728306,False,False
update_grad_inner,MatrixFactorizationInput,300,29,271,0.6331823789036997,0.595418479316967,0.6733414210020199,-3.97381501450062e-05,-7.832445483663434e-05,-1.1518454533780521e-06,False,False
update_grad_inner,MatrixSensing,225,145,80,1.00827147431438,1.0020635747498408,1.0145178325336135,0.00010376198902905786,2.619564336980657e-05,0.00018132833468830915,True,True
update_grad_inner,SmallMLPDigits,150,53,97,0.9114166031645741,0.8784976960210548,0.9455690416564758,-0.0018249575295106713,-0.002550662510729363,-0.0010992525482919797,False,False
update_grad_cosine,All,675,331,344,0.9376201467355215,0.9178531426793225,0.9578128555490384,-0.030020573355521864,-0.039848001109808275,-0.020193145601235453,False,False
update_grad_cosine,MatrixFactorizationInput,300,36,264,0.7886093673496498,0.7601665205194631,0.8181164488099708,-0.12191031882575326,-0.136679566005689,-0.10714107164581751,False,False
update_grad_cosine,MatrixSensing,225,166,59,1.0165542404716659,1.0111086438309604,1.0220291658328349,0.013891294808490244,0.009658758485176177,0.01812383113180431,True,True
update_grad_cosine,SmallMLPDigits,150,129,21,1.1740902724736781,1.143822893767098,1.205158574311592,0.08789111533892277,0.07441378234383474,0.1013684483340108,True,True
update_grad_per_update_norm,All,675,250,425,0.8076595488686914,0.7818083179303025,0.8343655751906842,0.0005236014115220093,-5.2012328218641437e-05,0.0010992151512626601,False,False
update_grad_per_update_norm,MatrixFactorizationInput,300,26,274,0.6162499842563817,0.5809058591524692,0.6537445562178686,-0.0003674654637506001,-0.0005053796994327571,-0.00022955122806844305,False,False
update_grad_per_update_norm,MatrixSensing,225,157,68,1.012728288857462,1.00735970532861,1.01812548350601,0.004202333862343016,0.0032393983378560367,0.005165269386829996,True,True
update_grad_per_update_norm,SmallMLPDigits,150,67,83,0.9880393464020056,0.9617861364722391,1.015009172017401,-0.0032123635141642825,-0.005123645317913697,-0.0013010817104148684,False,False
relative_update_fro_norm,All,675,221,253,1.0,1.0,1.0,-3.218233293025121e-18,-6.304172934134597e-18,-1.322936519156451e-19,False,False
relative_update_fro_norm,MatrixFactorizationInput,300,107,110,1.0,1.0,1.0,1.142026288351398e-19,-2.6107524185724278e-19,4.894804995275224e-19,False,False
relative_update_fro_norm,MatrixSensing,225,66,78,1.0,1.0,1.0,-5.2427198385076835e-18,-1.286176827529077e-17,2.3763285982754035e-18,False,False
relative_update_fro_norm,SmallMLPDigits,150,48,65,1.0,0.9999999999999999,1.0,-6.846375318521799e-18,-1.467629414923619e-17,9.835435121925923e-19,False,False
