problem_family,setting,kappa,lr,algo,runs,median_final_loss,median_recovery,median_nrG,median_stA,median_condition_score,median_relative_update_fro_norm,median_mean_relative_layer_update_norm,median_delta_loss
MatrixFactorizationInput,overlap MF d=20 rank=10 kappa=1 num_factors=10 input_columns_multiplier=2 lr=1e-02,1.0,0.01,Adam,5,0.010806269645245576,0.9663723724905418,2.611177709144387,2.2393503256209946,1.4998407030451044,0.010914930587807316,0.04177363904794262,0.00012088165392484026
MatrixFactorizationInput,overlap MF d=20 rank=10 kappa=1 num_factors=10 input_columns_multiplier=2 lr=1e-02,1.0,0.01,Muon,5,0.011634289787632708,0.9768763178880074,7.122539718331055,5.009416825138724,1.433478862401032,0.01091493058780732,0.03734361341151978,6.0221912528850285e-05
MatrixFactorizationInput,overlap MF d=20 rank=10 kappa=1 num_factors=10 input_columns_multiplier=2 lr=3e-02,1.0,0.03,Adam,5,0.0069864485410666855,0.8548144221824544,3.2880813629415364,3.01719017365136,1.5114251263591945,0.03062981316553466,0.0652112979074388,0.0004805088682283587
MatrixFactorizationInput,overlap MF d=20 rank=10 kappa=1 num_factors=10 input_columns_multiplier=2 lr=3e-02,1.0,0.03,Muon,5,0.002068126551030287,0.5545742776155483,6.397669656543241,5.170422252325587,1.2424624771242176,0.030629813165534668,0.06323866491974087,0.0009192776821248458
MatrixFactorizationInput,overlap MF d=20 rank=10 kappa=1 num_factors=10 input_columns_multiplier=2 lr=3e-03,1.0,0.003,Adam,5,0.012266446467801609,0.9969327823716206,3.913669303995178,3.0478038311368585,1.4404934555700275,0.003343997930592561,0.01858096009556081,1.0793678452603386e-05
MatrixFactorizationInput,overlap MF d=20 rank=10 kappa=1 num_factors=10 input_columns_multiplier=2 lr=3e-03,1.0,0.003,Muon,5,0.012307447071979621,0.9975454020229539,6.119238194650634,4.393969810493327,1.393689681100892,0.00334399793059256,0.01507553235855789,7.638790930439981e-06
MatrixFactorizationInput,overlap MF d=20 rank=10 kappa=10 num_factors=10 input_columns_multiplier=2 lr=1e-02,10.0,0.01,Adam,5,0.002097676892536407,0.899316140520763,2.482402370023046,2.0621416435856803,1.3403776058838897,0.01091873476079781,0.041735395348103055,7.690356464597073e-05
MatrixFactorizationInput,overlap MF d=20 rank=10 kappa=10 num_factors=10 input_columns_multiplier=2 lr=1e-02,10.0,0.01,Muon,5,0.0027761526368751265,0.9613130982464746,4.750390339975589,5.013383793103405,1.0059552141998458,0.01091873476079781,0.03742786927762014,2.6643653545487932e-05
MatrixFactorizationInput,overlap MF d=20 rank=10 kappa=10 num_factors=10 input_columns_multiplier=2 lr=3e-02,10.0,0.03,Adam,5,0.0011213877498705111,0.6742348331208848,2.839592069287321,2.735509218737191,1.1909190809287753,0.0306188376147032,0.06555769889988783,0.00013571099194634433
MatrixFactorizationInput,overlap MF d=20 rank=10 kappa=10 num_factors=10 input_columns_multiplier=2 lr=3e-02,10.0,0.03,Muon,5,0.00026356374953028476,0.4583472356058711,4.721373228612065,3.825293604881961,1.1508111789096716,0.0306188376147032,0.06379734490262837,0.00027634803045012315
