metric,problem_family,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,delta_ci95_above_zero
nrUpdate,All,90,90,0,1.594733836563112,1.5425846997738102,1.6486459445968897,5.314263025182104,5.145341225141491,5.483184825222716,True,True
nrUpdate,MatrixFactorizationInput,30,30,0,1.8781210440774982,1.7753044149889203,1.9868922909363496,4.616457394395118,4.323441041964994,4.909473746825242,True,True
nrUpdate,MatrixSensing,45,45,0,1.4143038450022798,1.4027575953942133,1.4259451330406847,5.853608301748191,5.740453795095298,5.966762808401085,True,True
nrUpdate,SmallMLPDigits,15,15,0,1.648367071339948,1.5796064889017376,1.7201208155120844,5.091838457057805,4.789018190271703,5.394658723843907,True,True
stUpdate,All,90,90,0,4.1853635602467385,4.01163316218942,4.366617640053832,11.579114246915076,10.944437529074056,12.213790964756095,True,True
stUpdate,MatrixFactorizationInput,30,30,0,4.680265133343392,4.389790353702751,4.989960784781727,7.832266757849037,7.6955842538769215,7.968949261821152,True,True
stUpdate,MatrixSensing,45,45,0,3.6369850086681454,3.503698698703625,3.7753417433328638,14.460304356845224,14.266027711989041,14.654581001701407,True,True
stUpdate,SmallMLPDigits,15,15,0,5.100745882650294,4.727210269807938,5.503797604592487,10.429238895256695,10.255186714098004,10.603291076415386,True,True
nrUpdateFrac,All,90,90,0,1.5883467277092675,1.536572273494254,1.641865710415067,0.3630242809552697,0.34393175940931503,0.3821168025012243,True,True
nrUpdateFrac,MatrixFactorizationInput,30,30,0,1.8781210440774982,1.7753044149889203,1.9868922909363496,0.46164573943951176,0.4323441041964993,0.4909473746825242,True,True
nrUpdateFrac,MatrixSensing,45,45,0,1.4143038450022798,1.4027575953942135,1.4259451330406847,0.29268041508740966,0.28702268975476497,0.29833814042005435,True,True
nrUpdateFrac,SmallMLPDigits,15,15,0,1.6091500821353684,1.5411938841378081,1.6801026875893899,0.37681296159036565,0.35269070582578055,0.40093521735495075,True,True
stUpdateFrac,All,90,90,0,4.142554817805959,3.9780113111464255,4.313904379920376,0.754189178882526,0.7446415638759212,0.7637367938891308,True,True
stUpdateFrac,MatrixFactorizationInput,30,30,0,4.680265133343392,4.389790353702751,4.989960784781727,0.7832266757849037,0.7695584253876921,0.7968949261821152,True,True
stUpdateFrac,MatrixSensing,45,45,0,3.6369850086681454,3.503698698703625,3.7753417433328638,0.7230152178422614,0.7133013855994522,0.7327290500850706,True,True
stUpdateFrac,SmallMLPDigits,15,15,0,4.795613115422922,4.441376651834184,5.178102862165214,0.7896360681985635,0.7752891229928308,0.8039830134042961,True,True
update_flatness,All,90,90,0,2.612754941198778,2.5501627862971317,2.6768833815000392,0.614780993146879,0.6058909387848249,0.623671047508933,True,True
update_flatness,MatrixFactorizationInput,30,30,0,2.483311356682948,2.421473389702644,2.546728500282132,0.5964292399715416,0.5867735626944397,0.6060849172486436,True,True
update_flatness,MatrixSensing,45,45,0,2.5718162806794322,2.4886640103831636,2.657746868991542,0.6089387616548608,0.5968215614524298,0.6210559618572918,True,True
update_flatness,SmallMLPDigits,15,15,0,3.032563429318774,2.8857944508102107,3.1867969495400703,0.6690111939736091,0.6540438176195746,0.6839785703276435,True,True
