metric,problem_family,n_pairs,muon_lower_pairs,muon_higher_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_below_one,delta_ci95_below_zero
norm_rank_plane_mean_speed,All,90,41,49,1.9267703750143896,1.4712088356577258,2.523397078684202,0.057262840311850305,0.0030795560809224742,0.11144612454277814,False,False
norm_rank_plane_mean_speed,MatrixFactorizationInput,30,30,0,0.49422298385337676,0.4271699648157082,0.5718013387816566,-0.19987462534991796,-0.24032437765857553,-0.15942487304126038,True,True
norm_rank_plane_mean_speed,MatrixSensing,45,0,45,6.062849039393493,4.936046691946603,7.446878193929416,0.2762149310323592,0.23008154995655902,0.3223483121081594,False,False
norm_rank_plane_mean_speed,SmallMLPDigits,15,11,4,0.9399475500181621,0.8784509443668918,1.0057492708621236,-0.0853185005261399,-0.14701603908750122,-0.023620961964778572,False,True
norm_condition_mean_speed,All,90,42,48,1.8497558911722447,1.3928748071873152,2.4564999232312807,0.005414290363948583,-0.06730919635799634,0.0781377770858935,False,False
norm_condition_mean_speed,MatrixFactorizationInput,30,30,0,0.437982435703088,0.35253125589660034,0.5441464005695829,-0.32978281522414626,-0.45010684102738724,-0.2094587894209053,True,True
norm_condition_mean_speed,MatrixSensing,45,0,45,6.062849039393583,4.936046691946638,7.446878193929589,0.25954163263931346,0.2145230903782043,0.30456017490042264,False,False
norm_condition_mean_speed,SmallMLPDigits,15,12,3,0.9370070570291895,0.8703612733576371,1.0087560784218557,-0.08657352528595658,-0.1606793436545184,-0.012467706917394766,False,True
condition_score_mean_abs_speed,All,90,42,48,1.8497558911722491,1.3928748071873172,2.456499923231289,-0.027238349725043836,-0.04027379419264605,-0.014202905257441624,False,True
condition_score_mean_abs_speed,MatrixFactorizationInput,30,30,0,0.4379824357030879,0.35253125589660034,0.5441464005695829,-0.06770826252378433,-0.0971270841543553,-0.03828944089321336,True,True
condition_score_mean_abs_speed,MatrixSensing,45,0,45,6.0628490393936145,4.93604669194665,7.446878193929645,0.0022389726953788284,0.0016682664890635764,0.0028096789016940804,False,False
condition_score_mean_abs_speed,SmallMLPDigits,15,12,3,0.9370070570291894,0.8703612733576371,1.0087560784218554,-0.0347304913888309,-0.07027258610999115,0.0008116033323293595,False,False
condition_score_std_speed,All,90,46,44,1.2128853235875343,0.9543956366937265,1.5413846748820823,-0.03524948205947991,-0.0520169963210385,-0.01848196779792133,False,True
condition_score_std_speed,MatrixFactorizationInput,30,29,1,0.40628453579103335,0.3234461435319707,0.5103388224711344,-0.08594902427194452,-0.12516114410267995,-0.0467369044412091,True,True
condition_score_std_speed,MatrixSensing,45,6,39,2.7419442532753315,2.0694553923850347,3.632964651344752,0.00014718953941623064,4.5396642133660816e-05,0.00024898243669880046,False,False
condition_score_std_speed,SmallMLPDigits,15,11,4,0.9355823033126821,0.8624396957073531,1.0149280588875853,-0.04004041243123917,-0.08369091788980745,0.003610093027329113,False,False
delta_gd_pred_mean_rel_speed,All,90,38,52,0.8815660639350118,0.7951297800190655,0.977398589024341,-0.09290308917860908,-0.15337329514947978,-0.032432883207738385,True,True
delta_gd_pred_mean_rel_speed,MatrixFactorizationInput,30,17,13,0.7126653324642249,0.5278629113023383,0.9621662466174756,-0.24839746112737207,-0.4169557986307954,-0.07983912362394874,True,True
delta_gd_pred_mean_rel_speed,MatrixSensing,45,8,37,1.0290503103747914,1.015768898092298,1.042505380181697,0.0004792712939379908,-0.00138053986057569,0.0023390824484516718,False,False
delta_gd_pred_mean_rel_speed,SmallMLPDigits,15,13,2,0.8481020076913015,0.7793800592425006,0.9228835237959515,-0.06206142669872434,-0.09411005362930194,-0.030012799768146727,True,True
delta_spec_pred_mean_rel_speed,All,90,33,57,0.9195826521720853,0.8240889039143411,1.026142022006578,-0.05565154348938057,-0.09545878692608512,-0.01584430005267603,False,True
delta_spec_pred_mean_rel_speed,MatrixFactorizationInput,30,20,10,0.7015779110278797,0.5175514312157675,0.9510389413589317,-0.16123470423349148,-0.27078226203888606,-0.051687146428096895,True,True
delta_spec_pred_mean_rel_speed,MatrixSensing,45,0,45,1.141389541866281,1.1226254065587995,1.160467310529805,0.012638399746716367,0.009791268767865327,0.015485530725567407,False,False
delta_spec_pred_mean_rel_speed,SmallMLPDigits,15,13,2,0.8262113139350459,0.7413598568708382,0.9207743431854092,-0.0493550517094495,-0.07544193214322177,-0.02326817127567723,True,True
