target,model,evaluation,held_out_family,train_pairs,test_pairs,test_positive_rate,mean_predicted_probability,calibration_error,auc,accuracy,balanced_accuracy,brier,baseline_brier
muon_first_order_win,spectrum_only,in_sample,None,675,675,0.3362962962962963,0.42748373393326783,0.09118743763697151,0.892965308370044,0.8103703703703704,0.8125934156702328,0.13390576500120097,0.22320109739368996
muon_first_order_win,spectrum_only,leave_family_out,MatrixFactorizationInput,375,300,0.09666666666666666,0.10622520738840374,0.009558540721737077,0.2317088688128261,0.8266666666666667,0.4575645756457565,0.15833407622915638,0.08732222222222223
muon_first_order_win,spectrum_only,leave_family_out,MatrixSensing,450,225,0.6444444444444445,1.0,0.3555555555555555,0.5,0.6444444444444445,0.5,0.35555555555555557,0.2291358024691358
muon_first_order_win,spectrum_only,leave_family_out,SmallMLPDigits,525,150,0.35333333333333333,1.0754447541533775e-07,-0.3533332257888579,0.4464112040459055,0.6466666666666666,0.5,0.3533332793134134,0.22848888888888894
muon_first_order_win,family_only,in_sample,None,675,675,0.3362962962962963,0.45412900069650236,0.11783270440020605,0.7868844398993078,0.6948148148148148,0.7385787051604783,0.1809254992943247,0.22320109739368996
muon_first_order_win,family_only,leave_family_out,MatrixFactorizationInput,375,300,0.09666666666666666,0.4808108122784135,0.3841441456117468,0.5,0.9033333333333333,0.5,0.23488894683000117,0.08732222222222223
muon_first_order_win,family_only,leave_family_out,MatrixSensing,450,225,0.6444444444444445,0.5133548301902752,-0.13108961425416932,0.5,0.6444444444444445,0.5,0.24632028943444273,0.2291358024691358
muon_first_order_win,family_only,leave_family_out,SmallMLPDigits,525,150,0.35333333333333333,0.4808084219627448,0.12747508862941148,0.5,0.6466666666666666,0.5,0.24473878710996522,0.22848888888888894
muon_first_order_win,spectrum_plus_family,in_sample,None,675,675,0.3362962962962963,0.42740340986135195,0.09110711356505563,0.8922376494650723,0.8044444444444444,0.8081291299559472,0.13468009578688112,0.22320109739368996
muon_first_order_win,spectrum_plus_family,leave_family_out,MatrixFactorizationInput,375,300,0.09666666666666666,0.10595322792667727,0.009286561260010609,0.23170886881282607,0.8266666666666667,0.4575645756457565,0.15819612472499991,0.08732222222222223
muon_first_order_win,spectrum_plus_family,leave_family_out,MatrixSensing,450,225,0.6444444444444445,1.0,0.3555555555555555,0.5,0.6444444444444445,0.5,0.35555555555555557,0.2291358024691358
muon_first_order_win,spectrum_plus_family,leave_family_out,SmallMLPDigits,525,150,0.35333333333333333,2.5278581535884374e-08,-0.35333330805475177,0.44252091032872987,0.6466666666666666,0.5,0.3533333209887374,0.22848888888888894
muon_delta_loss_win,spectrum_only,in_sample,None,675,675,0.3585185185185185,0.4410851936314097,0.08256667511289117,0.8817256122001031,0.7777777777777778,0.7812207737674881,0.14252695862317105,0.22998299039780523
muon_delta_loss_win,spectrum_only,leave_family_out,MatrixFactorizationInput,375,300,0.17,0.10505919172194979,-0.06494080827805022,0.1611937947869911,0.73,0.4397590361445783,0.2387495763762917,0.1411
muon_delta_loss_win,spectrum_only,leave_family_out,MatrixSensing,450,225,0.6444444444444445,1.0,0.3555555555555555,0.5,0.6444444444444445,0.5,0.35555555555555557,0.2291358024691358
muon_delta_loss_win,spectrum_only,leave_family_out,SmallMLPDigits,525,150,0.30666666666666664,6.88906553341631e-08,-0.3066665977760113,0.3624581939799331,0.6933333333333334,0.5,0.306666639323885,0.21262222222222227
muon_delta_loss_win,family_only,in_sample,None,675,675,0.3585185185185185,0.47260247598751126,0.11408395746899275,0.7365535472295918,0.7377777777777778,0.7072080239726681,0.1995338405786029,0.22998299039780523
muon_delta_loss_win,family_only,leave_family_out,MatrixFactorizationInput,375,300,0.17,0.4758836119970109,0.30588361199701086,0.5,0.83,0.5,0.2346647840883378,0.1411
muon_delta_loss_win,family_only,leave_family_out,MatrixSensing,450,225,0.6444444444444445,0.5148679365149353,-0.12957650792950914,0.5,0.6444444444444445,0.5,0.24592587387634196,0.2291358024691358
muon_delta_loss_win,family_only,leave_family_out,SmallMLPDigits,525,150,0.30666666666666664,0.5036872276333152,0.19702056096664855,0.5,0.30666666666666664,0.5,0.2514393236658351,0.21262222222222227
muon_delta_loss_win,spectrum_plus_family,in_sample,None,675,675,0.3585185185185185,0.4410988283059414,0.08258030978742287,0.88108144217739,0.7792592592592592,0.7832868894699674,0.1428485733183533,0.22998299039780523
muon_delta_loss_win,spectrum_plus_family,leave_family_out,MatrixFactorizationInput,375,300,0.17,0.10108279105726997,-0.06891720894273004,0.16119379478699108,0.73,0.4397590361445783,0.23564725561844238,0.1411
muon_delta_loss_win,spectrum_plus_family,leave_family_out,MatrixSensing,450,225,0.6444444444444445,1.0,0.3555555555555555,0.5,0.6444444444444445,0.5,0.35555555555555557,0.2291358024691358
muon_delta_loss_win,spectrum_plus_family,leave_family_out,SmallMLPDigits,525,150,0.30666666666666664,2.9352750456054233e-08,-0.3066666373139162,0.3624581939799331,0.6933333333333334,0.5,0.3066666550998922,0.21262222222222227
