group_type,problem_family,base_setting,eval_algo,metric,n_pairs,other_positive_pairs,other_better_pairs,mean_signed_other_over_own,signed_ratio_ci95_low,signed_ratio_ci95_high,geomean_other_over_own,ratio_ci95_low,ratio_ci95_high,positive_ratio_pairs,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta_other_minus_own,delta_ci95_low,delta_ci95_high
setting_eval,MatrixFactorizationInput,MF input kappa=1e+02,Adam,update_grad_inner,20,20,0,0.7253070419483143,0.6185892631544102,0.8320248207422184,0.6839467072805897,0.5780669032946044,0.8092196521438988,20,False,True,-6.066516804460348e-08,-9.261486711670537e-08,-2.8715468972501595e-08
setting_eval,MatrixFactorizationInput,MF input kappa=1e+02,Adam,delta_loss,20,20,0,0.7205344088798487,0.6114146530999344,0.8296541646597629,0.6765666386009219,0.5680865705442298,0.8057617275290118,20,False,True,-6.122733199543557e-08,-9.350186449459394e-08,-2.89527994962772e-08
setting_eval,MatrixFactorizationInput,MF input kappa=1e+02,Adam,update_grad_cosine,20,20,0,0.7253070419483143,0.6185892631544102,0.8320248207422184,0.6839467072805897,0.5780669032946044,0.8092196521438988,20,False,True,-0.07155794765542758,-0.10322318730931274,-0.03989270800154243
setting_eval,MatrixFactorizationInput,MF input kappa=1e+02,Muon,update_grad_inner,20,20,0,0.700256233864364,0.5826425315152858,0.8178699362134422,0.6340326235528582,0.4991144726080589,0.8054211804933936,20,False,True,-2.082718031657894e-08,-3.649916084234535e-08,-5.155199790812538e-09
setting_eval,MatrixFactorizationInput,MF input kappa=1e+02,Muon,delta_loss,20,20,0,0.7001011857958834,0.5824623418198253,0.8177400297719416,0.6339606816503542,0.49921917603334315,0.8050695269200522,20,False,True,-2.090429370671886e-08,-3.66273922461856e-08,-5.181195167252119e-09
setting_eval,MatrixFactorizationInput,MF input kappa=1e+02,Muon,update_grad_cosine,20,20,0,0.700256233864364,0.5826425315152857,0.8178699362134423,0.6340326235528583,0.49911447260805897,0.8054211804933937,20,False,True,-0.03289451847424001,-0.050436299479515195,-0.015352737468964834
setting_eval,MatrixSensing,Matrix sensing kappa=1e+02,Adam,update_grad_inner,20,5,0,-0.14050395469267135,-0.4539926831669461,0.17298477378160337,1.0,1.0,1.0,5,False,False,-5.5365568297599066e-05,-7.588872763954751e-05,-3.4842408955650624e-05
setting_eval,MatrixSensing,Matrix sensing kappa=1e+02,Adam,delta_loss,20,5,0,-0.14483924933162526,-0.45949670406733467,0.16981820540408418,1.0,1.0,1.0,5,False,False,-5.534845265274791e-05,-7.586848864231158e-05,-3.482841666318425e-05
setting_eval,MatrixSensing,Matrix sensing kappa=1e+02,Adam,update_grad_cosine,20,5,0,-0.1405039546926714,-0.45399268316694613,0.17298477378160332,1.0,1.0,1.0,5,False,False,-0.9574225021497794,-1.219423442771694,-0.695421561527865
setting_eval,MatrixSensing,Matrix sensing kappa=1e+02,Muon,update_grad_inner,20,5,0,-0.14520991540539047,-0.4608411688430654,0.1704213380322845,1.0,1.0,1.0,5,False,False,-3.331029253918057e-05,-4.378646179983861e-05,-2.2834123278522527e-05
