problem_family,base_setting,eval_algo,step,vector_source,points,mean_delta_loss,mean_update_grad_inner,mean_update_grad_cosine
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0,other_vectors,5,9.029518068404823e-09,9.031167778583689e-09,0.054572571148301566
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0,own_vectors,5,9.029518068404823e-09,9.031167778583689e-09,0.054572571148301566
MatrixFactorizationInput,MF input kappa=1e+02,Adam,1,other_vectors,5,3.174512563066853e-08,3.1688523561607544e-08,0.07683867358091612
MatrixFactorizationInput,MF input kappa=1e+02,Adam,1,own_vectors,5,6.451437348216978e-08,6.432424131692241e-08,0.15804629474421267
MatrixFactorizationInput,MF input kappa=1e+02,Adam,3,other_vectors,5,3.2521685220835784e-07,3.243826481084863e-07,0.2585049329976871
MatrixFactorizationInput,MF input kappa=1e+02,Adam,3,own_vectors,5,3.592422244689234e-07,3.5816927682869453e-07,0.28613652363452025
MatrixFactorizationInput,MF input kappa=1e+02,Adam,10,other_vectors,5,1.8436944046434996e-07,1.94182261905086e-07,0.19378900464320412
MatrixFactorizationInput,MF input kappa=1e+02,Adam,10,own_vectors,5,3.6248414833402544e-07,3.7042058760797676e-07,0.3711815834647848
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0,other_vectors,5,9.029518068404823e-09,9.031167778583689e-09,0.054572571148301566
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0,own_vectors,5,9.029518068404823e-09,9.031167778583689e-09,0.054572571148301566
MatrixFactorizationInput,MF input kappa=1e+02,Muon,1,other_vectors,5,5.106498555794035e-09,5.09616173934483e-09,0.02889368815052184
MatrixFactorizationInput,MF input kappa=1e+02,Muon,1,own_vectors,5,1.0129195699408065e-08,1.009515172628257e-08,0.05808919726861457
MatrixFactorizationInput,MF input kappa=1e+02,Muon,3,other_vectors,5,1.798185806524801e-08,1.7896494479928562e-08,0.07132395723185198
MatrixFactorizationInput,MF input kappa=1e+02,Muon,3,own_vectors,5,2.072669670878202e-08,2.0627102862530993e-08,0.08245689875843429
MatrixFactorizationInput,MF input kappa=1e+02,Muon,10,other_vectors,5,6.145778923935161e-08,6.117080056167953e-08,0.07338515023161668
MatrixFactorizationInput,MF input kappa=1e+02,Muon,10,own_vectors,5,1.37307428279079e-07,1.3674992345845512e-07,0.1646347734839017
MatrixSensing,Matrix sensing kappa=1e+02,Adam,0,other_vectors,5,5.2140478880955546e-05,5.220593779707164e-05,0.8266906978269801
MatrixSensing,Matrix sensing kappa=1e+02,Adam,0,own_vectors,5,5.2140478880955546e-05,5.220593779707164e-05,0.8266906978269801
MatrixSensing,Matrix sensing kappa=1e+02,Adam,1,other_vectors,5,-1.0875173612450838e-05,-1.0748453242123543e-05,-0.2505107397086911
MatrixSensing,Matrix sensing kappa=1e+02,Adam,1,own_vectors,5,3.596507742092449e-05,3.611369463396322e-05,0.8446736020160983
MatrixSensing,Matrix sensing kappa=1e+02,Adam,3,other_vectors,5,-5.989648020568641e-05,-5.966376776484355e-05,-0.7405562878147617
MatrixSensing,Matrix sensing kappa=1e+02,Adam,3,own_vectors,5,6.680837430032473e-05,6.706350466827781e-05,0.8322662337552733
MatrixSensing,Matrix sensing kappa=1e+02,Adam,5,other_vectors,5,-1.3216302295781645e-05,-1.3078525902366749e-05,-0.3172721038896379
MatrixSensing,Matrix sensing kappa=1e+02,Adam,5,own_vectors,5,3.463240277582352e-05,3.4794326978821385e-05,0.844411041414656
