problem_family,base_setting,seed,step,layer,top_k,update_left_overlap,update_right_overlap,update_mean_overlap
MatrixFactorizationInput,MF input kappa=1e+02,0,0,1,5,0.44156364022149014,1.0000000000000002,0.7207818201107452
MatrixFactorizationInput,MF input kappa=1e+02,0,0,2,5,0.9999999999999997,1.0000000000000004,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,0,3,5,0.9999999999999997,1.0000000000000004,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,0,4,5,0.9999999999999997,1.0000000000000004,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,0,5,5,0.9999999999999997,1.0000000000000004,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,0,6,5,0.9999999999999997,1.0000000000000004,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,0,7,5,0.9999999999999997,1.0000000000000004,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,0,8,5,0.9999999999999997,1.0000000000000004,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,0,9,5,0.9999999999999997,1.0000000000000004,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,0,10,5,0.9999999999999993,0.4098294449335474,0.7049147224667733
MatrixFactorizationInput,MF input kappa=1e+02,0,1,1,5,0.3724961033643098,1.0000000000000002,0.686248051682155
MatrixFactorizationInput,MF input kappa=1e+02,0,1,2,5,1.0000000000000004,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,1,3,5,0.9999999999999993,0.9999999999999997,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,0,1,4,5,1.0000000000000009,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,1,5,5,0.9999999999999997,1.0000000000000002,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,1,6,5,0.9999999999999997,0.9999999999999997,0.9999999999999997
MatrixFactorizationInput,MF input kappa=1e+02,0,1,7,5,1.0000000000000009,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,1,8,5,1.0000000000000004,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,1,9,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,1,10,5,0.9999999999999997,0.4506067897550138,0.7253033948775067
MatrixFactorizationInput,MF input kappa=1e+02,0,2,1,5,0.4266268680582687,0.9999999999999997,0.7133134340291342
MatrixFactorizationInput,MF input kappa=1e+02,0,2,2,5,0.9999999999999993,1.0000000000000004,0.9999999999999999
MatrixFactorizationInput,MF input kappa=1e+02,0,2,3,5,0.9999999999999997,0.9999999999999997,0.9999999999999997
MatrixFactorizationInput,MF input kappa=1e+02,0,2,4,5,0.9999999999999997,0.9999999999999997,0.9999999999999997
MatrixFactorizationInput,MF input kappa=1e+02,0,2,5,5,0.9999999999999997,0.9999999999999997,0.9999999999999997
MatrixFactorizationInput,MF input kappa=1e+02,0,2,6,5,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,2,7,5,0.9999999999999993,0.9999999999999997,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,0,2,8,5,1.0000000000000004,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,2,9,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,2,10,5,1.0000000000000004,0.4415191642967005,0.7207595821483505
MatrixFactorizationInput,MF input kappa=1e+02,0,3,1,5,0.38998305357523516,0.9999999999999997,0.6949915267876174
MatrixFactorizationInput,MF input kappa=1e+02,0,3,2,5,0.9999999999999997,0.9999999999999997,0.9999999999999997
MatrixFactorizationInput,MF input kappa=1e+02,0,3,3,5,0.9999999999999997,0.9999999999999997,0.9999999999999997
MatrixFactorizationInput,MF input kappa=1e+02,0,3,4,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,3,5,5,0.9999999999999993,1.0000000000000004,0.9999999999999999
MatrixFactorizationInput,MF input kappa=1e+02,0,3,6,5,0.9999999999999997,1.0000000000000002,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,3,7,5,1.0000000000000002,1.0000000000000009,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,3,8,5,0.9999999999999993,1.0000000000000002,0.9999999999999998
MatrixFactorizationInput,MF input kappa=1e+02,0,3,9,5,0.9999999999999997,0.9999999999999993,0.9999999999999996
