group_type,problem_family,base_setting,budget,comparison,metric,n_pairs,geomean_ratio,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta,delta_ci95_low,delta_ci95_high
setting_budget,MatrixFactorizationInput,MF input kappa=1e+02,fro,flat_polar_over_gd_spectrum,update_grad_inner,30,0.5341109191650717,0.5154309755180435,0.5534678502483039,False,True,-6.46648374931101e-07,-1.08862530328262e-06,-2.0467144657958192e-07
setting_budget,MatrixFactorizationInput,MF input kappa=1e+02,fro,flat_polar_over_gd_spectrum,delta_loss,30,0.5260636921239479,0.5072169071732261,0.5456107717571917,False,True,-6.92862244283287e-07,-1.1673299496450778e-06,-2.1839453892149628e-07
setting_budget,MatrixFactorizationInput,MF input kappa=1e+02,fro,top_singular_over_gd_spectrum,update_grad_inner,30,0.9772160506720261,0.9682301014303457,0.9862853967050838,False,True,-6.063522257657548e-09,-9.431246698443502e-09,-2.6957978168715934e-09
setting_budget,MatrixFactorizationInput,MF input kappa=1e+02,fro,top_singular_over_gd_spectrum,delta_loss,30,0.9790151083468984,0.9706793655729453,0.9874224346015126,False,True,-5.490655829557395e-09,-8.559546184984507e-09,-2.4217654741302823e-09
setting_budget,MatrixFactorizationInput,MF input kappa=1e+02,op,flat_polar_over_gd_spectrum,update_grad_inner,30,1.1702892337948738,1.1388480757862778,1.2025984148856876,True,False,5.2310328533675936e-08,1.8668582377387608e-08,8.595207468996427e-08
setting_budget,MatrixFactorizationInput,MF input kappa=1e+02,op,flat_polar_over_gd_spectrum,delta_loss,30,1.1699931453328893,1.1387781671916983,1.202063755315669,True,False,5.447758067069263e-08,1.9305088901073545e-08,8.965007244031172e-08
setting_budget,MatrixFactorizationInput,MF input kappa=1e+02,op,top_singular_over_gd_spectrum,update_grad_inner,30,0.9541488420523421,0.9369504304085045,0.9716629431429971,False,True,-6.683814574369004e-09,-1.0485355541608384e-08,-2.8822736071296237e-09
setting_budget,MatrixFactorizationInput,MF input kappa=1e+02,op,top_singular_over_gd_spectrum,delta_loss,30,0.9546684510631973,0.9376442229867157,0.9720017775530162,False,True,-6.719854286391457e-09,-1.0543136879471157e-08,-2.8965716933117577e-09
setting_budget,MatrixSensing,Matrix sensing kappa=1e+02,fro,flat_polar_over_gd_spectrum,update_grad_inner,30,0.8191550034937423,0.8134902010979299,0.8248592531823926,False,True,-2.769660925527591e-05,-3.629110750489563e-05,-1.910211100565619e-05
setting_budget,MatrixSensing,Matrix sensing kappa=1e+02,fro,flat_polar_over_gd_spectrum,delta_loss,30,0.8198636558400478,0.8142036920468244,0.8255629650580754,False,True,-2.7199103726615203e-05,-3.560773805457424e-05,-1.8790469398656163e-05
