problem_family,setting,kappa,seed,comparison,final_loss_ratio,final_loss_delta,total_decrease_ratio,total_decrease_delta,mean_delta_loss_ratio,mean_delta_loss_delta,mean_update_grad_inner_ratio,mean_update_grad_inner_delta,mean_update_grad_cosine_ratio,mean_update_grad_cosine_delta,mean_nrUpdate_ratio,mean_nrUpdate_delta,mean_stUpdate_ratio,mean_stUpdate_delta
MatrixFactorizationInput,MF input kappa=1e+02,100.0,0,PolarMuon/GD,1.0098427494673647,1.4894001488284319e-06,0.23998621780965607,-1.4894001488284319e-06,0.2399862178096561,-1.4894001488284318e-07,0.24365399733625648,-1.4526844331708535e-07,0.27554983134338384,-0.7244501686566162,3.8700113802041463,3.708014135158371,4.92705876103786,3.9851957846452586
MatrixFactorizationInput,MF input kappa=1e+02,100.0,0,FreshAdamSign/GD,1.0057589032859715,8.714344949705191e-07,0.5553228412293056,-8.714344949705191e-07,0.5553228412293056,-8.71434494970519e-08,0.5537569379380745,-8.57081742198423e-08,0.5755559659574541,-0.42444403404254594,1.9264368060507384,1.1969432580865798,1.2733045207888187,0.2773505797718805
MatrixFactorizationInput,MF input kappa=1e+02,100.0,0,PolarMuon/FreshAdamSign,1.0040604623713008,6.179656538579127e-07,0.43215621615419963,-6.179656538579127e-07,0.43215621615419963,-6.179656538579127e-08,0.44000170588111687,-5.956026909724305e-08,0.4787541918447474,-0.3000061346140702,2.008896096694603,2.5110708770717913,3.869505432985914,3.707845204873378
MatrixFactorizationInput,MF input kappa=1e+02,100.0,1,PolarMuon/GD,1.009789389247843,1.5510544648871351e-06,0.2357813146276583,-1.5510544648871351e-06,0.23578131462765833,-1.5510544648871351e-07,0.23799092457682164,-1.523327020714909e-07,0.25682263340210354,-0.7431773665978965,3.0895055548064048,3.381618057872917,4.64279027977692,3.9230614137837527
MatrixFactorizationInput,MF input kappa=1e+02,100.0,1,FreshAdamSign/GD,1.0055970517835695,8.8681039637104e-07,0.5630604271923382,-8.8681039637104e-07,0.5630604271923382,-8.868103963710399e-08,0.5578000299366708,-8.839988717755152e-08,0.5555767084012746,-0.4444232915987254,1.4360181545945152,0.7056439078353383,1.2078349747418258,0.22382550386466638
MatrixFactorizationInput,MF input kappa=1e+02,100.0,1,PolarMuon/FreshAdamSign,1.0041690033367119,6.642440685160952e-07,0.41874957507379007,-6.642440685160952e-07,0.4187495750737901,-6.642440685160952e-08,0.4266599351094364,-6.393281489393936e-08,0.46226313939822167,-0.29875407499917106,2.1514390642775547,2.675974150037579,3.8438945525396075,3.699235909919086
MatrixFactorizationInput,MF input kappa=1e+02,100.0,2,PolarMuon/GD,1.0089438467687017,1.320614632495013e-06,0.21986419104231256,-1.320614632495013e-06,0.21986419104231258,-1.320614632495013e-07,0.22268456794114286,-1.290723401551912e-07,0.2489735458354488,-0.7510264541645512,3.797134744317194,3.683217653130951,4.918560104385141,3.9834423298915986
MatrixFactorizationInput,MF input kappa=1e+02,100.0,2,FreshAdamSign/GD,1.0055402679988703,8.180550468346354e-07,0.5167446883966984,-8.180550468346354e-07,0.5167446883966984,-8.180550468346353e-08,0.5158055865461403,-8.039992962577354e-08,0.5217584884321051,-0.47824151156789485,1.7433441932999987,0.9788225113850519,1.2419584696650212,0.2459647381855512
MatrixFactorizationInput,MF input kappa=1e+02,100.0,2,PolarMuon/FreshAdamSign,1.003384825927066,5.025595856603777e-07,0.42547934401509624,-5.025595856603777e-07,0.42547934401509624,-5.025595856603777e-08,0.4317219001683362,-4.867241052941765e-08,0.47718159139800365,-0.2727849425966563,2.1780751953115747,2.7043951417458993,3.9603257472142097,3.737477591706048
MatrixFactorizationInput,MF input kappa=1e+02,100.0,3,PolarMuon/GD,1.0094412398836485,1.5061286938741834e-06,0.213367597271319,-1.5061286938741834e-06,0.21336759727131901,-1.5061286938741834e-07,0.21616117643671084,-1.4742320392754619e-07,0.23762997053378773,-0.7623700294662125,3.590688908411087,3.60750955386649,4.903806511548204,3.980383914368013
