group_type,problem_family,setting,comparison,metric,n_pairs,geomean_ratio,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,numerator_higher_rate
all,All,All,FreshAdamSign/GD,final_loss,30,1.0116131885314599,1.0069100113447713,1.0163383337941436,True,False,1.0
all,All,All,FreshAdamSign/GD,total_decrease,30,0.65147997808353,0.6098604745346825,0.6959397756799203,False,True,0.0
all,All,All,FreshAdamSign/GD,mean_delta_loss,30,0.6429737414464043,0.602939580216218,0.6856661027981182,False,True,0.0
all,All,All,FreshAdamSign/GD,mean_update_grad_inner,30,0.641756311572908,0.601315022862253,0.684917468855603,False,True,0.0
all,All,All,FreshAdamSign/GD,mean_update_grad_cosine,30,0.645768672188503,0.6070664208161441,0.686938304740133,False,True,0.0
all,All,All,FreshAdamSign/GD,mean_nrUpdate,30,1.4657420920122417,1.3138954511197616,1.6351376195613272,True,False,1.0
all,All,All,FreshAdamSign/GD,mean_stUpdate,30,1.4060853534480524,1.3191494163832647,1.4987506317530874,True,False,1.0
all,All,All,PolarMuon/FreshAdamSign,final_loss,30,1.0001106858509394,0.9988454739521777,1.0013775003611067,False,False,0.5
all,All,All,PolarMuon/FreshAdamSign,total_decrease,30,0.7146944492130815,0.5984986069087728,0.853449197441236,False,True,0.5
all,All,All,PolarMuon/FreshAdamSign,mean_delta_loss,30,0.6995295061654405,0.5890059056697753,0.8307922302402402,False,True,0.4666666666666667
all,All,All,PolarMuon/FreshAdamSign,mean_update_grad_inner,30,0.7038020204372952,0.5949848257145344,0.8325208687074568,False,True,0.4666666666666667
all,All,All,PolarMuon/FreshAdamSign,mean_update_grad_cosine,30,0.7244430982489543,0.6212086839764848,0.8448333324014036,False,True,0.4666666666666667
all,All,All,PolarMuon/FreshAdamSign,mean_nrUpdate,30,1.844523820535557,1.6446125359602948,2.0687353708735365,True,False,1.0
all,All,All,PolarMuon/FreshAdamSign,mean_stUpdate,30,5.2932425037311335,4.725470175581822,5.929233528567575,True,False,1.0
all,All,All,PolarMuon/GD,final_loss,30,1.011725159798054,1.007875526735868,1.015589496734201,True,False,1.0
all,All,All,PolarMuon/GD,total_decrease,30,0.4656091241097589,0.36857453380019317,0.5881900038481259,False,True,0.0
all,All,All,PolarMuon/GD,mean_delta_loss,30,0.44977910383134884,0.3580846601669575,0.564953668076728,False,True,0.0
all,All,All,PolarMuon/GD,mean_update_grad_inner,30,0.4516693887133989,0.3604488982233606,0.5659754758754146,False,True,0.0
all,All,All,PolarMuon/GD,mean_update_grad_cosine,30,0.4678226576323524,0.379880184649536,0.5761238617805451,False,True,0.0
all,All,All,PolarMuon/GD,mean_nrUpdate,30,2.7035962034782006,2.235917584102955,3.2690974316006667,True,False,1.0
all,All,All,PolarMuon/GD,mean_stUpdate,30,7.442750756745047,6.378498004108942,8.684574141333048,True,False,1.0
family,MatrixFactorizationInput,All,FreshAdamSign/GD,final_loss,10,1.00588991697839,1.0056722733207546,1.0061076077376139,True,False,1.0
family,MatrixFactorizationInput,All,FreshAdamSign/GD,total_decrease,10,0.5369854943517525,0.5261125385259467,0.548083157174128,False,True,0.0
family,MatrixFactorizationInput,All,FreshAdamSign/GD,mean_delta_loss,10,0.5369854943517525,0.5261125385259467,0.548083157174128,False,True,0.0
family,MatrixFactorizationInput,All,FreshAdamSign/GD,mean_update_grad_inner,10,0.5325873096176763,0.5218018339084255,0.5435957176332464,False,True,0.0
family,MatrixFactorizationInput,All,FreshAdamSign/GD,mean_update_grad_cosine,10,0.5421948162712623,0.5244600030783598,0.560529338874112,False,True,0.0
family,MatrixFactorizationInput,All,FreshAdamSign/GD,mean_nrUpdate,10,1.5525103393299475,1.4388051048366892,1.6752014193054778,True,False,1.0
family,MatrixFactorizationInput,All,FreshAdamSign/GD,mean_stUpdate,10,1.1393193388569998,1.0730289358611813,1.2097050811139363,True,False,1.0
family,MatrixFactorizationInput,All,PolarMuon/FreshAdamSign,final_loss,10,1.0042013275572392,1.0038380361137664,1.004564750476775,True,False,1.0
family,MatrixFactorizationInput,All,PolarMuon/FreshAdamSign,total_decrease,10,0.381270605609487,0.3497047677226408,0.41568571011625216,False,True,0.0
family,MatrixFactorizationInput,All,PolarMuon/FreshAdamSign,mean_delta_loss,10,0.381270605609487,0.3497047677226408,0.4156857101162522,False,True,0.0
family,MatrixFactorizationInput,All,PolarMuon/FreshAdamSign,mean_update_grad_inner,10,0.3895140688639309,0.3585774871536065,0.42311973082108534,False,True,0.0
family,MatrixFactorizationInput,All,PolarMuon/FreshAdamSign,mean_update_grad_cosine,10,0.42274230665407125,0.3931649399172427,0.4545447462147101,False,True,0.0
family,MatrixFactorizationInput,All,PolarMuon/FreshAdamSign,mean_nrUpdate,10,2.5825019123158732,2.2346037986303777,2.9845631387554543,True,False,1.0
family,MatrixFactorizationInput,All,PolarMuon/FreshAdamSign,mean_stUpdate,10,4.3181757618761045,4.0232194498403695,4.6347563544400066,True,False,1.0
family,MatrixFactorizationInput,All,PolarMuon/GD,final_loss,10,1.0101159900061403,1.0095541076383252,1.0106781850979518,True,False,1.0
family,MatrixFactorizationInput,All,PolarMuon/GD,total_decrease,10,0.20473678463500236,0.18650977143724815,0.22474506648989437,False,True,0.0
family,MatrixFactorizationInput,All,PolarMuon/GD,mean_delta_loss,10,0.20473678463500236,0.18650977143724815,0.22474506648989437,False,True,0.0
family,MatrixFactorizationInput,All,PolarMuon/GD,mean_update_grad_inner,10,0.2074502499944754,0.18908152525073282,0.22760344335969732,False,True,0.0
