run_id,problem_family,base_setting,setting,target_relative_update_norm,algo,seed,final_step,final_loss,recovery_error,initial_loss,total_loss_decrease
0,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-04,0.0001,Adam,0,10,0.00015318718940714776,0.9991668540604326,0.0001532792239327137,9.203452556593057e-08
1,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-04,0.0001,Muon,0,10,0.00015323393685289053,0.9992973453072297,0.0001532792239327137,4.528707982316064e-08
2,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-04,0.0001,Adam,1,10,0.0001603777503980239,0.9992463630691264,0.0001604720091443568,9.425874633291545e-08
3,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-04,0.0001,Muon,1,10,0.0001604262547194861,0.9993898216937647,0.0001604720091443568,4.5754424870723086e-08
4,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-04,0.0001,Adam,2,10,0.00014927569240564265,0.9990079588414469,0.0001493490238905777,7.333148493505245e-08
5,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-04,0.0001,Muon,2,10,0.00014931354684880404,0.9991273039991371,0.0001493490238905777,3.547704177365952e-08
6,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-04,0.0001,Adam,3,10,0.00016136075982737695,0.9998911063122414,0.00016144123210250178,8.047227512483638e-08
7,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-04,0.0001,Muon,3,10,0.0001614018140463442,1.0000034140648757,0.00016144123210250178,3.941805615758059e-08
8,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-04,0.0001,Adam,4,10,0.00014756674717288583,1.0009451768129063,0.00014765915682122912,9.240964834328087e-08
9,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-04,0.0001,Muon,4,10,0.00014761488350311508,1.001087867496657,0.00014765915682122912,4.427331811403322e-08
10,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-04,0.0003,Adam,0,10,0.00015299565672320062,0.9986030760771245,0.0001532792239327137,2.8356720951306573e-07
11,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-04,0.0003,Muon,0,10,0.0001531426313272286,0.9990245186650497,0.0001532792239327137,1.365926054850829e-07
12,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-04,0.0003,Adam,1,10,0.00016017813242901103,0.9986573671653747,0.0001604720091443568,2.938767153457802e-07
13,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-04,0.0003,Muon,1,10,0.00016033384068910925,0.9991204880793922,0.0001604720091443568,1.3816845524755833e-07
14,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-04,0.0003,Adam,2,10,0.00014912269427427925,0.9985217964465501,0.0001493490238905777,2.26329616298456e-07
15,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-04,0.0003,Muon,2,10,0.00014924206298819342,0.9989002629777618,0.0001493490238905777,1.0696090238428851e-07
16,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-04,0.0003,Adam,3,10,0.00016118823035803502,0.9993818013206702,0.00016144123210250178,2.530017444667663e-07
17,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-04,0.0003,Muon,3,10,0.0001613225413578707,0.9997646407228974,0.00016144123210250178,1.1869074463107736e-07
18,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-04,0.0003,Adam,4,10,0.00014738278557085743,1.0003724310219606,0.00014765915682122912,2.763712503716807e-07
19,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-04,0.0003,Muon,4,10,0.00014752789263648773,1.0008098457469785,0.00014765915682122912,1.312641847413872e-07
20,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-03,0.001,Adam,0,10,0.00015217859045777232,0.9961635775773844,0.0001532792239327137,1.1006334749413663e-06
21,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-03,0.001,Muon,0,10,0.00015280892258174035,0.9980361603385264,0.0001532792239327137,4.70301350973337e-07
22,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-03,0.001,Adam,1,10,0.00015931388050299428,0.9960990207250311,0.0001604720091443568,1.1581286413625276e-06
23,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-03,0.001,Muon,1,10,0.00015999346855409107,0.9981328114460317,0.0001604720091443568,4.785405902657395e-07
24,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-03,0.001,Adam,2,10,0.00014844381012731015,0.996337511266403,0.0001493490238905777,9.052137632675501e-07
25,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-03,0.001,Muon,2,10,0.00014897683758081185,0.9980435911795982,0.0001493490238905777,3.7218630976584887e-07
26,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-03,0.001,Adam,3,10,0.000160410006934033,0.9970469354407533,0.00016144123210250178,1.0312251684687745e-06
27,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-03,0.001,Muon,3,10,0.00016103270702842832,0.9988988212299048,0.00016144123210250178,4.085250740734679e-07
28,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-03,0.001,Adam,4,10,0.00014669130824587377,0.998157615218993,0.00014765915682122912,9.67848575355348e-07
29,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-03,0.001,Muon,4,10,0.00014723303593663716,0.999865144610558,0.00014765915682122912,4.2612088459195404e-07
