group_type,group,points,positive_points,spearman_delta_vs_first_order,spearman_ci95_low,spearman_ci95_high,pearson_log_positive,geomean_observed_over_first_order,ratio_ci95_low,ratio_ci95_high,median_abs_log10_ratio,within_factor_2,slope_through_origin
All,All,3000,2946,0.9592907581434174,0.9563336735974968,0.9620514733407884,0.9988576016803362,0.9964305562617516,0.9888753917866878,1.0040434433889507,0.003900187424733882,0.9898167006109979,1.0242067247008815
family,MatrixFactorizationInput,1200,1184,0.9763003585419155,0.973491835646083,0.9788145145774884,0.9953253966286322,1.0093090327802567,0.9944927802713832,1.0243460222746184,0.008683525051650477,0.9839527027027027,0.7561193915204785
family,MatrixSensing,600,562,0.8535239264553511,0.8301478922663659,0.8739044733793487,0.9873288325030409,0.9241728974486975,0.9028975070951354,0.9459496096368415,0.0029967123557730103,0.9804270462633452,0.7865806195879603
family,SmallMLPDigits,1200,1200,0.9998773888037422,0.9998626646222781,0.9998905344432718,0.9998787420983523,1.0191916952323887,1.0163920595804443,1.021999042435904,0.002860177373936554,1.0,1.0247955719892985
algo,Adam,1500,1464,0.9741453253979225,0.9714256835146201,0.9766091888567615,0.9983959530706521,0.9862946703309329,0.9741541308867163,0.99858651303746,0.0063693626114449545,0.9808743169398907,1.0212758262392927
algo,Muon,1500,1482,0.9443255041446686,0.9385667400958524,0.9495584870027158,0.9992611679494882,1.0065456037670097,0.9976419728230054,1.0155286967285984,0.002946505235380436,0.9986504723346828,1.0557724698958935
MatrixFactorizationInput:Adam,MatrixFactorizationInput:Adam,600,584,0.9552147089297468,0.9476087308061938,0.961738170982533,0.9911403981451142,0.977831403763698,0.9498235327068669,1.0066651554332158,0.013025962171375482,0.9674657534246576,0.6653599130962256
MatrixFactorizationInput:Muon,MatrixFactorizationInput:Muon,600,600,0.9998254995152763,0.9997950696458334,0.9998514112246052,0.9996622456938674,1.0409201149407932,1.0342256652106405,1.0476578972420634,0.0036832667802207068,1.0,1.0068327527804817
MatrixSensing:Adam,MatrixSensing:Adam,300,280,0.9479247547194969,0.9349979153079235,0.9583362107717174,0.996543942775361,0.9326374365051848,0.9149485074986925,0.9506683500133537,0.0029408653988611715,0.9678571428571429,0.7873845534416448
MatrixSensing:Muon,MatrixSensing:Muon,300,282,0.7546017177968642,0.7010505117419639,0.7996898321649172,0.9781669136048043,0.9158444003257346,0.8777620594448671,0.9555789710693098,0.0030488077509452233,0.9929078014184397,0.7858095299117552
SmallMLPDigits:Adam,SmallMLPDigits:Adam,600,600,0.999857221825616,0.9998323233151655,0.9998784233513888,0.9998550213110788,1.0209082482247545,1.0164037807140462,1.0254326784982348,0.00396173127801506,1.0,1.0215855820075586
SmallMLPDigits:Muon,SmallMLPDigits:Muon,600,600,0.9998854441262336,0.9998654668579741,0.999902455048988,0.999907032799133,1.0174780284486324,1.0141456647001528,1.0208213419536791,0.0018401577288676856,1.0,1.05984185216784
