group_type,problem_family,base_setting,target_relative_update_norm,metric,n_pairs,muon_higher_pairs,muon_win_rate,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high
target_setting,MatrixFactorizationInput,MF input kappa=1e+02,0.0001,update_grad_inner,50,0,0.0,0.4863044929881957,0.4846570787927174,0.4879575069647363,False,True,-4.441099636703662e-09,-4.56161327554049e-09,-4.320585997866833e-09
target_setting,MatrixFactorizationInput,MF input kappa=1e+02,0.0001,delta_loss,50,0,0.0,0.4860330297494637,0.48440987787236806,0.4876616204545777,False,True,-4.445935191257173e-09,-4.566265981557412e-09,-4.3256044009569344e-09
target_setting,MatrixFactorizationInput,MF input kappa=1e+02,0.0001,update_grad_cosine,50,0,0.0,0.48813373282705097,0.4861839923878234,0.49009129229742693,False,True,-0.2667838976869147,-0.27093457949234684,-0.26263321588148253
target_setting,MatrixFactorizationInput,MF input kappa=1e+02,0.0003,update_grad_inner,50,0,0.0,0.47511919829691074,0.47164018599966795,0.47862387322198646,False,True,-1.3954280370810203e-08,-1.4350717856255599e-08,-1.3557842885364807e-08
target_setting,MatrixFactorizationInput,MF input kappa=1e+02,0.0003,delta_loss,50,0,0.0,0.473874591413292,0.47023914020848223,0.47753814854194443,False,True,-1.4029392870127094e-08,-1.443249687834374e-08,-1.3626288861910449e-08
target_setting,MatrixFactorizationInput,MF input kappa=1e+02,0.0003,update_grad_cosine,50,0,0.0,0.48144092879923794,0.4785296268613463,0.48436994265818484,False,True,-0.27377847161431634,-0.27807707743125293,-0.26947986579737976
target_setting,MatrixFactorizationInput,MF input kappa=1e+02,0.001,update_grad_inner,50,0,0.0,0.4263461642244967,0.41372519507113537,0.43935214464685446,False,True,-5.8485551198096076e-08,-6.208668016803631e-08,-5.488442222815585e-08
target_setting,MatrixFactorizationInput,MF input kappa=1e+02,0.001,delta_loss,50,0,0.0,0.4207836434246998,0.4077672571781961,0.4342155272569847,False,True,-6.014750827450439e-08,-6.399564879005583e-08,-5.629936775895296e-08
target_setting,MatrixFactorizationInput,MF input kappa=1e+02,0.001,update_grad_cosine,50,0,0.0,0.45226584722450375,0.44433231811692614,0.460341029058058,False,True,-0.3092321198319366,-0.3188377555882051,-0.2996264840756681
target_setting,MatrixFactorizationInput,MF input kappa=1e+02,0.003,update_grad_inner,50,0,0.0,0.3300685234447006,0.3079434220459328,0.35378326786507763,False,True,-3.2922742491841735e-07,-3.7314029648933674e-07,-2.8531455334749797e-07
target_setting,MatrixFactorizationInput,MF input kappa=1e+02,0.003,delta_loss,50,0,0.0,0.3195893529761956,0.29810689187022105,0.3426199035351662,False,True,-3.540139636744755e-07,-4.009219877776463e-07,-3.071059395713047e-07
target_setting,MatrixFactorizationInput,MF input kappa=1e+02,0.003,update_grad_cosine,50,0,0.0,0.40975610410568886,0.39763671085302693,0.4222448789793223,False,True,-0.38287972819571797,-0.40248801285608926,-0.3632714435353467
target_setting,MatrixFactorizationInput,MF input kappa=1e+02,0.01,update_grad_inner,50,0,0.0,0.2530753076157222,0.2329297814856356,0.2749631709448974,False,True,-3.6447523043126496e-06,-4.355120517716392e-06,-2.9343840909089073e-06
target_setting,MatrixFactorizationInput,MF input kappa=1e+02,0.01,delta_loss,50,0,0.0,0.24584581351792578,0.22762449217752453,0.2655257500899921,False,True,-4.015189095938178e-06,-4.7501932322210255e-06,-3.2801849596553305e-06
target_setting,MatrixFactorizationInput,MF input kappa=1e+02,0.01,update_grad_cosine,50,0,0.0,0.41316014303765763,0.4023918509783799,0.4242166022494062,False,True,-0.42749376417819157,-0.44680932410526164,-0.4081782042511215
target_setting,MatrixFactorizationInput,MF input kappa=1e+02,0.03,update_grad_inner,50,11,0.22,0.6149792763850542,0.43085162136592114,0.8777952585720483,False,True,-6.627169635819003e-06,-1.1405882282061029e-05,-1.8484569895769767e-06
target_setting,MatrixFactorizationInput,MF input kappa=1e+02,0.03,delta_loss,50,19,0.38,0.8836869728378927,0.6106709357579448,1.2787618015489268,False,False,7.012748806777873e-07,-4.0274746764285496e-06,5.430024437784124e-06
target_setting,MatrixFactorizationInput,MF input kappa=1e+02,0.03,update_grad_cosine,50,7,0.14,0.6831153224561624,0.5533434400070161,0.8433217239703245,False,True,-0.2129689708438291,-0.28794475471240605,-0.13799318697525215
target_setting,MatrixFactorizationInput,MF input kappa=1e+05,0.0001,update_grad_inner,50,0,0.0,0.4157206218383232,0.41342448585100744,0.41802951043380004,False,True,-4.578821672670841e-09,-4.709470630610998e-09,-4.448172714730685e-09
target_setting,MatrixFactorizationInput,MF input kappa=1e+05,0.0001,delta_loss,50,0,0.0,0.41539541402613267,0.4131155632475515,0.4176878465615756,False,True,-4.58480654662015e-09,-4.714275174909255e-09,-4.455337918331045e-09
