metric,problem_family,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,delta_ci95_above_zero
nrUpdate,All,180,180,0,1.9544869000075884,1.8621211776931712,2.051434185950014,11.392975408452463,10.211866331336116,12.57408448556881,True,True
nrUpdate,MatrixFactorizationInput,60,60,0,2.6887212483576794,2.541759470974159,2.844180196405207,3.0957937530339446,2.9876623641702396,3.2039251418976495,True,True
nrUpdate,MatrixSensing,60,60,0,1.4172697648871604,1.4149050586040748,1.4196384232628412,17.664211604013097,17.59494979491224,17.733473413113956,True,True
nrUpdate,SmallMLPDigits,60,60,0,1.9592957215979359,1.8273808450587257,2.1007332626104054,13.41892086831034,11.101586287584311,15.736255449036367,True,True
stUpdate,All,180,180,0,5.4817316992540395,5.240757305634815,5.733786296552553,24.948711983562507,22.03608114141008,27.861342825714935,True,True
stUpdate,MatrixFactorizationInput,60,60,0,4.41005278176165,4.30480649170603,4.517872191327245,3.861201319861239,3.8330625058551466,3.8893401338673317,True,True
stUpdate,MatrixSensing,60,60,0,5.6335077351939935,5.530854967085853,5.73806574053272,49.32300636961611,49.13198116213016,49.51403157710206,True,True
stUpdate,SmallMLPDigits,60,60,0,6.630261291687141,5.934917712150144,7.407072334979109,21.66192826121018,18.68950607082586,24.634350451594496,True,True
nrUpdateFrac,All,180,180,0,1.8168526588251195,1.7355579419478904,1.9019552756476144,0.4253766904490159,0.4032486982427679,0.4475046826552639,True,True
nrUpdateFrac,MatrixFactorizationInput,60,60,0,2.688721248357679,2.5417594709741587,2.8441801964052065,0.619158750606789,0.597532472834048,0.6407850283795301,True,True
nrUpdateFrac,MatrixSensing,60,60,0,1.4172697648871604,1.414905058604075,1.4196384232628414,0.29440352673355175,0.2932491632485374,0.2955578902185661,True,True
nrUpdateFrac,SmallMLPDigits,60,60,0,1.5738408908394839,1.5412572962333158,1.6071133325577167,0.362567794006707,0.3495769963670007,0.37555859164641336,True,True
stUpdateFrac,All,180,180,0,4.730642159968241,4.624327224272585,4.839401314034225,0.7861042339360931,0.7813110774535215,0.7908973904186647,True,True
stUpdateFrac,MatrixFactorizationInput,60,60,0,4.41005278176165,4.30480649170603,4.517872191327245,0.7722402639722478,0.7666125011710293,0.7778680267734662,True,True
stUpdateFrac,MatrixSensing,60,60,0,5.6335077351939935,5.530854967085853,5.73806574053272,0.8220501061602685,0.8188663527021693,0.8252338596183677,True,True
stUpdateFrac,SmallMLPDigits,60,60,0,4.261255860435464,4.14479090455109,4.380993378497643,0.764022331675763,0.7577852048929632,0.7702594584585627,True,True
update_flatness,All,180,180,0,2.6711278129224896,2.5185550853657253,2.832943315167555,0.5930064312198576,0.5673990446571492,0.6186138177825661,True,True
update_flatness,MatrixFactorizationInput,60,60,0,1.5894575505823418,1.530334668929541,1.65086458301987,0.36416223967321326,0.34052990449988924,0.3877945748465373,True,True
update_flatness,MatrixSensing,60,60,0,3.9750364723927034,3.902793050973557,4.0486171699292814,0.747807588644075,0.7432944846368343,0.7523206926513157,True,True
update_flatness,SmallMLPDigits,60,60,0,3.0164348983978653,2.94427711858215,3.0903611072636425,0.6670494653422845,0.6591552462482351,0.6749436844363339,True,True
