algo,d,L,r,lr,init_scale,seed,iters,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-Exact,50,2,5,0.01,0.01,0,2000,0.0020084177509762115,0.00028840915037373397,49,1.8982698917388916,1,196000000
Muon-Exact,50,2,5,0.01,0.01,1,2000,0.0021808660204349875,0.0003083057737985061,49,1.900977611541748,1,196000000
Muon-Exact,50,2,5,0.01,0.01,2,2000,0.002021307332196284,0.00031642166429302857,49,1.9204480648040771,1,196000000
Muon-Exact,50,2,5,0.01,0.01,3,2000,0.002245915043349875,0.00030462342846036876,49,1.8860671520233154,1,196000000
Muon-Exact,50,2,5,0.01,0.01,4,2000,0.0020411327673662467,0.00033416476245871,49,1.9254016876220703,1,196000000
Muon-Exact,50,2,5,0.01,0.01,5,2000,0.0021645786241712575,0.0002752177832517536,49,1.9349408149719238,1,196000000
Muon-Exact,50,2,5,0.01,0.01,6,2000,0.0020460018514666138,0.0003254293295931829,49,1.9654362201690674,1,196000000
Muon-Exact,50,2,5,0.01,0.01,7,2000,0.002293008091360669,0.0002882885092126108,49,2.0180699825286865,1,196000000
Muon-Exact,50,2,5,0.01,0.01,8,2000,0.0019172429480376286,0.00028760190440637787,49,1.9784116744995117,1,196000000
Muon-Exact,50,2,5,0.01,0.01,9,2000,0.0020656285744587756,0.00030248081910223416,49,1.9872784614562988,1,196000000
Muon-Exact,50,3,5,0.01,0.01,0,2000,0.0022719791193616173,0.0009999561982652482,53,3.0674970149993896,1,318000000
Muon-Exact,50,3,5,0.01,0.01,1,2000,0.0022284088740124413,0.0011487210037753742,53,3.1556179523468018,1,318000000
Muon-Exact,50,3,5,0.01,0.01,2,2000,0.003940403293096903,0.000851379180319169,53,3.200012445449829,1,318000000
Muon-Exact,50,3,5,0.01,0.01,3,2000,0.004219562115572064,0.00056799066572503,59,3.277944326400757,1,354000000
Muon-Exact,50,3,5,0.01,0.01,4,2000,0.0029261083657680553,0.0011249663086121686,52,3.262850522994995,1,312000000
Muon-Exact,50,3,5,0.01,0.01,5,2000,0.0020819136177444605,0.0015537495350029398,58,3.1753902435302734,1,348000000
Muon-Exact,50,3,5,0.01,0.01,6,2000,0.002548499959206111,0.0006222929525809484,57,3.276784896850586,1,342000000
Muon-Exact,50,3,5,0.01,0.01,7,2000,0.002662344405657147,0.0009636193645748535,53,3.2245984077453613,1,318000000
Muon-Exact,50,3,5,0.01,0.01,8,2000,0.0031485261958319505,0.0007874538460046409,52,3.228358745574951,1,312000000
Muon-Exact,50,3,5,0.01,0.01,9,2000,0.002425670554054374,0.001123347185397669,53,3.2818350791931152,1,318000000
SGD,50,2,5,0.01,0.01,0,2000,1.622649487954696e-05,1.622649487954696e-05,81,0.2096569538116455,1,40500000
SGD,50,2,5,0.01,0.01,1,2000,1.6216724161314476e-05,1.6216724161314476e-05,80,0.20325851440429688,1,40000000
SGD,50,2,5,0.01,0.01,2,2000,1.5712214820267133e-05,1.5712214820267133e-05,81,0.20610976219177246,1,40500000
SGD,50,2,5,0.01,0.01,3,2000,1.7347678496171626e-05,1.7347678496171626e-05,80,0.2132856845855713,1,40000000
SGD,50,2,5,0.01,0.01,4,2000,1.571242140898313e-05,1.571242140898313e-05,82,0.20473814010620117,1,41000000
SGD,50,2,5,0.01,0.01,5,2000,1.611610127818216e-05,1.611610127818216e-05,81,0.20548582077026367,1,40500000
SGD,50,2,5,0.01,0.01,6,2000,1.54072303845361e-05,1.54072303845361e-05,80,0.21368885040283203,1,40000000
SGD,50,2,5,0.01,0.01,7,2000,1.5753647418702914e-05,1.5753647418702914e-05,82,0.21186327934265137,1,41000000
SGD,50,2,5,0.01,0.01,8,2000,1.551243940867485e-05,1.551243940867485e-05,82,0.21533203125,1,41000000
SGD,50,2,5,0.01,0.01,9,2000,1.555110733735114e-05,1.555110733735114e-05,82,0.21601295471191406,1,41000000
SGD,50,3,5,0.01,0.01,0,2000,1.8060438211954668e-06,1.8060438211954668e-06,254,0.3454244136810303,1,190500000
SGD,50,3,5,0.01,0.01,1,2000,1.852630294819112e-06,1.852630294819112e-06,239,0.3448965549468994,1,179250000
SGD,50,3,5,0.01,0.01,2,2000,1.6581677671036524e-06,1.6581677671036524e-06,242,0.35352492332458496,1,181500000
SGD,50,3,5,0.01,0.01,3,2000,1.8113476818589223e-06,1.8113476818589223e-06,258,0.34616971015930176,1,193500000
SGD,50,3,5,0.01,0.01,4,2000,1.808872611707414e-06,1.808872611707414e-06,255,0.3478546142578125,1,191250000
SGD,50,3,5,0.01,0.01,5,2000,2.0101173125325166e-06,2.0101173125325166e-06,245,0.33737635612487793,1,183750000
SGD,50,3,5,0.01,0.01,6,2000,1.5211487433862498e-06,1.5211487433862498e-06,257,0.33689093589782715,1,192750000
SGD,50,3,5,0.01,0.01,7,2000,1.4418244304901492e-06,1.4418244304901492e-06,269,0.33475828170776367,1,201750000
SGD,50,3,5,0.01,0.01,8,2000,1.8807170492271272e-06,1.8807170492271272e-06,259,0.3367960453033447,1,194250000
SGD,50,3,5,0.01,0.01,9,2000,1.7222615441316457e-06,1.7222615441316457e-06,252,0.33484315872192383,1,189000000
