algo,d,r,lr,noise,dist,spectrum,kappa,init_scale,seed,iters,gamma,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0.5,0.002847158376771413,0.0027619067045102554,43,64.51490116119385,1,182857500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0.5,0.003465766266819229,0.002769319063379061,42,62.82445979118347,1,178605000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0.5,0.00351321821757722,0.0028319712070253365,43,62.56505990028381,1,182857500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0.5,0.003548335286090011,0.002846526578577956,43,62.17923092842102,1,182857500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0.5,0.0027741962623342754,0.0027382915737108856,43,65.61564111709595,1,182857500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0.5,0.003493825528058783,0.0027980820392271683,43,69.54831337928772,1,182857500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0.5,0.0033783857492856333,0.0027608565717604067,42,70.59288716316223,1,178605000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0.5,0.003561620227276948,0.002861033849691013,42,69.02453947067261,1,178605000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,1.0,0.005751711559511247,0.0053334240879474885,56,143.76703238487244,1,238140000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,1.0,0.005986523264185882,0.005320780991158482,60,141.92879176139832,1,255150000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,1.0,0.005919729497123644,0.005468274193522865,59,139.42284989356995,1,250897500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,1.0,0.006167011928728849,0.005476091011837937,58,135.44996547698975,1,246645000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,1.0,0.005825848364297169,0.005523034927428099,58,137.5274534225464,1,246645000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,1.0,0.005843273959122568,0.005484432632880108,59,138.28562378883362,1,250897500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,1.0,0.006528344869895197,0.005397075772249164,59,137.32941699028015,1,250897500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,1.0,0.005832908347075732,0.005409778924240424,58,146.3342604637146,1,246645000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,2.0,0.005199673708594308,0.0046674266906456515,50,270.3040997982025,1,212625000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,2.0,0.005303170259469825,0.004715822752660781,49,276.80006170272827,1,208372500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,2.0,0.005273017398166328,0.004641272111105063,49,268.8515841960907,1,208372500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,2.0,0.005284385519114727,0.004749225705368248,49,274.36856269836426,1,208372500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,2.0,0.005442537979351367,0.004704132075241074,48,266.68522906303406,1,204120000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,2.0,0.005588947840359942,0.0047393988920080826,50,277.94804430007935,1,212625000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,2.0,0.005314919151773636,0.004744641768707149,48,278.03598713874817,1,204120000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,2.0,0.005484536167833647,0.004708033860200691,48,273.87315249443054,1,204120000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,3.0,0.005020212251576546,0.004298440431050758,46,404.9849922657013,1,195615000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,3.0,0.004851599776833163,0.004249199480454618,46,398.74939036369324,1,195615000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,3.0,0.004680359737243557,0.004300648550403658,47,392.3419380187988,1,199867500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,3.0,0.00506511081524133,0.004323611428636333,46,408.1872034072876,1,195615000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,3.0,0.004909980470237053,0.004330645427981878,46,442.7255370616913,1,195615000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,3.0,0.004729676177853657,0.004274471027333113,47,444.9905264377594,1,199867500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,3.0,0.005193022563161539,0.004344582675517503,46,408.59189009666443,1,195615000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,3.0,0.004938228936522069,0.004249492002139782,47,427.7855660915375,1,199867500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,5.0,0.0048282499455257494,0.0038402151948549847,43,655.5759558677673,1,182857500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,5.0,0.004302072269537579,0.0037868709849056374,43,668.0320334434509,1,182857500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,5.0,0.004395512502805148,0.003812881716295998,43,668.4193542003632,1,182857500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,5.0,0.004609533991716486,0.0038639703373451895,43,653.5342783927917,1,182857500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,5.0,0.004258519123244961,0.0038376903867481196,43,647.3897540569305,1,182857500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,5.0,0.004532048832109025,0.003794685756654617,43,653.0083248615265,1,182857500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,5.0,0.004579651428767458,0.0038837594499173643,43,653.5096805095673,1,182857500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,5.0,0.004258649120867984,0.003858490169288372,44,644.178083896637,1,187110000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0.5,1.5514284009510793e-31,1.5444393937758926e-31,50,53.44354844093323,1,125125000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0.5,1.275030767764719e-31,1.2158085664195574e-31,50,55.07116985321045,1,125125000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0.5,1.3666201116440661e-31,1.3568695135216224e-31,50,53.81046271324158,1,125125000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0.5,1.1973618288562842e-31,1.1753536014545393e-31,50,55.584081411361694,1,125125000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0.5,1.3384498552574717e-31,1.2793145374269262e-31,49,54.29094624519348,1,122622500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0.5,1.3291373139915994e-31,1.25839015526623e-31,50,56.139134883880615,1,125125000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0.5,1.3996301055195638e-31,1.3188080702173646e-31,50,55.227078676223755,1,125125000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0.5,1.2105423276537492e-31,1.1496026301324316e-31,50,57.275628328323364,1,125125000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,1.0,6.76949411311165e-05,6.76949411311165e-05,89,123.93526792526245,1,222722500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,1.0,0.00011006335843819104,0.00011006335843819104,89,122.73086738586426,1,222722500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,1.0,9.167367514295604e-05,9.167367514295604e-05,91,120.93451857566833,1,227727500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,1.0,9.388423203737149e-05,9.388423203737149e-05,84,126.23325228691101,1,210210000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,1.0,8.712569161181378e-05,8.712569161181378e-05,89,130.7391927242279,1,222722500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,1.0,8.5122560334767e-05,8.5122560334767e-05,85,133.04686212539673,1,212712500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,1.0,7.309472270349938e-05,7.309472270349938e-05,82,131.95436120033264,1,205205000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,1.0,8.05927651934913e-05,8.05927651934913e-05,89,123.3738522529602,1,222722500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,2.0,1.7616012084037097e-21,1.7616012084037097e-21,65,254.09204196929932,1,162662500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,2.0,1.059652085679174e-20,1.059652085679174e-20,66,253.57925844192505,1,165165000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,2.0,9.432010531704723e-21,9.432010531704723e-21,66,255.58994030952454,1,165165000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,2.0,1.361817628792442e-20,1.361817628792442e-20,64,253.71105360984802,1,160160000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,2.0,1.526182583220628e-20,1.526182583220628e-20,62,250.55782055854797,1,155155000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,2.0,1.886736606866301e-21,1.886736606866301e-21,63,250.3578977584839,1,157657500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,2.0,1.4592726062646487e-20,1.4592726062646487e-20,64,250.63970685005188,1,160160000
