algo,d,r,lr,noise,dist,spectrum,kappa,init_scale,seed,iters,wd,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0,0.004887887001686491,0.004408192010095682,40,30.06747794151306,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0,0.004811801327834312,0.004593939715851801,40,31.414566040039062,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0,0.0049313685891597845,0.004432890664851528,40,31.232776165008545,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0,0.005991198202018481,0.0045805797553993485,41,32.141392946243286,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0,0.006005675597540356,0.004635558628007683,41,29.313403844833374,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0,0.0058737529209794605,0.004514772323932758,42,29.55812382698059,1,178605000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0,0.0049958590859879,0.004686441277156847,42,28.700176239013672,1,178605000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0,0.004937909109008528,0.004480602408636794,41,28.51300835609436,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,1e-05,0.0049256995727293695,0.004455360854049698,40,28.625298261642456,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,1e-05,0.004862454151227939,0.004595779620263407,40,28.932342767715454,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,1e-05,0.005896572009445642,0.004436156952990382,40,30.135345935821533,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,1e-05,0.00605923574743615,0.004658798642855222,41,31.206114768981934,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,1e-05,0.005911291700779453,0.004691305102592457,41,31.128098726272583,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,1e-05,0.005894050763851679,0.004516212367826059,42,31.177237510681152,1,178605000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,1e-05,0.006043947395832367,0.004577911469027451,42,31.362944841384888,1,178605000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,1e-05,0.0048575855936226755,0.004522669888213382,41,31.366000175476074,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0.0001,0.00495294977525243,0.004567245556736792,40,31.341185092926025,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0.0001,0.006012861755038343,0.00461275407108503,40,31.252560138702393,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0.0001,0.004894656020423225,0.00435800705322669,40,31.47438907623291,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0.0001,0.004867403042820478,0.004793768560085627,41,31.34511137008667,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0.0001,0.004844962853181121,0.004614975206029124,41,31.2637882232666,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0.0001,0.00606411376882372,0.004483076572501056,42,31.30884552001953,1,178605000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0.0001,0.006003833054578095,0.004728428059615888,42,31.47057819366455,1,178605000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0.0001,0.006069827786797008,0.004764996192463112,41,31.244380950927734,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0.001,0.004933304949374522,0.004466732554524654,40,31.49474310874939,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0.001,0.004883683727716256,0.0043303915072654695,40,31.338656187057495,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0.001,0.004911380206529286,0.004512238129583671,40,31.482415437698364,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0.001,0.004850193233268193,0.004797417481701198,41,31.506508588790894,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0.001,0.005056036977544362,0.004205826472685535,41,31.702248096466064,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0.001,0.004904804734967155,0.004687633963576723,42,30.286986589431763,1,178605000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0.001,0.004911173962617793,0.00464106025954415,42,30.312682151794434,1,178605000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0.001,0.0049716429293621845,0.004657214069708342,41,30.388718605041504,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0.01,0.007358416162904703,0.0035850869572530103,40,30.655887365341187,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0.01,0.00498552526887667,0.004470109455237671,40,30.931766986846924,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0.01,0.005879836857423121,0.004624446116781526,40,36.68939423561096,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0.01,0.005803929005815536,0.00423984417258929,41,36.21590852737427,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0.01,0.005401625290774338,0.004323773718104984,41,36.56700658798218,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0.01,0.007864222014897842,0.0034462419850362956,42,31.042046070098877,1,178605000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0.01,0.005781456514232018,0.0036568724633270584,42,30.204179763793945,1,178605000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0.01,0.00614367833726375,0.004808428007933224,41,30.119481801986694,1,174352500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0,3.371170946000061e-32,2.811823112251676e-32,46,28.224833726882935,1,115115000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0,3.5266581917211803e-32,2.638870691200503e-32,46,27.87713313102722,1,115115000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0,2.9978989403145253e-32,2.47092598893129e-32,47,27.674060821533203,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0,4.22857930906046e-32,3.201931055843248e-32,47,27.57272434234619,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0,2.988909662299098e-32,2.6354617951989376e-32,48,27.742460250854492,1,120120000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0,3.5922156433219063e-32,2.7510224066870326e-32,49,27.54617714881897,1,122622500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0,4.0360606434805277e-32,2.964088036434592e-32,48,27.429030656814575,1,120120000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0,2.9121408910096076e-32,2.530989725365652e-32,47,27.23839807510376,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,1e-05,1.2187703132491925e-13,1.216552305392567e-13,46,27.22130846977234,1,115115000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,1e-05,1.097786958166343e-13,1.0934241618255503e-13,46,27.14323878288269,1,115115000
