algo,d,r,lr,noise,dist,init_scale,seed,iters,m,n,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-Exact,50,5,0.01,0.0,normal,0.01,0,2000,50,100,0.008454044650460566,0.001993245867554225,39,65.26419687271118,1,331695000
Muon-Exact,50,5,0.01,0.0,normal,0.01,1,2000,50,100,0.006566777530416999,0.0021381868316975943,40,67.32085418701172,1,340200000
Muon-Exact,50,5,0.01,0.0,normal,0.01,2,2000,50,100,0.007576861260141749,0.0025350587766229567,39,67.83384394645691,1,331695000
Muon-Exact,50,5,0.01,0.0,normal,0.01,3,2000,50,100,0.005811485397545619,0.002689665140345361,40,67.1039445400238,1,340200000
Muon-Exact,50,5,0.01,0.0,normal,0.01,4,2000,50,100,0.007056179406299789,0.0024176316991989222,41,66.10978293418884,1,348705000
Muon-Exact,50,5,0.01,0.0,normal,0.01,5,2000,50,100,0.00570217638037937,0.002000805034670894,41,66.13350319862366,1,348705000
Muon-Exact,50,5,0.01,0.0,normal,0.01,6,2000,50,100,0.007576437422545116,0.002457131810006586,40,66.06365728378296,1,340200000
Muon-Exact,50,5,0.01,0.0,normal,0.01,7,2000,50,100,0.007047564124444207,0.0024745558966781087,40,66.51632475852966,1,340200000
Muon-Exact,100,5,0.01,0.0,normal,0.01,0,2000,100,50,0.008164729455763284,0.002451400906350411,40,48.46804976463318,1,340200000
Muon-Exact,100,5,0.01,0.0,normal,0.01,1,2000,100,50,0.00686043844489993,0.0022287302285581216,40,48.20736908912659,1,340200000
Muon-Exact,100,5,0.01,0.0,normal,0.01,2,2000,100,50,0.0024788137854121314,0.0024544531153076524,41,48.087995529174805,1,348705000
Muon-Exact,100,5,0.01,0.0,normal,0.01,3,2000,100,50,0.002681616167381072,0.0026194617860369677,41,49.176647663116455,1,348705000
Muon-Exact,100,5,0.01,0.0,normal,0.01,4,2000,100,50,0.006984643453314873,0.0019642350722833637,42,49.05798077583313,1,357210000
Muon-Exact,100,5,0.01,0.0,normal,0.01,5,2000,100,50,0.007291434799371254,0.002434502473463739,39,48.5220832824707,1,331695000
Muon-Exact,100,5,0.01,0.0,normal,0.01,6,2000,100,50,0.007451578874748947,0.002512685825215753,40,48.40260553359985,1,340200000
Muon-Exact,100,5,0.01,0.0,normal,0.01,7,2000,100,50,0.009885494583625557,0.0021882861488280504,40,48.28598952293396,1,340200000
Muon-Exact,100,10,0.01,0.0,normal,0.01,0,2000,100,200,0.01240420016534858,0.00429397926659607,53,1506.6397047042847,1,5725060000
Muon-Exact,100,10,0.01,0.0,normal,0.01,1,2000,100,200,0.016652126597075587,0.004902862062018075,52,1379.7228014469147,1,5617040000
Muon-Exact,100,10,0.01,0.0,normal,0.01,2,2000,100,200,0.014134285297568504,0.004360896899477006,52,1354.177225112915,1,5617040000
Muon-Exact,100,10,0.01,0.0,normal,0.01,3,2000,100,200,0.016167741616372758,0.0041176921762756625,52,1405.8530676364899,1,5617040000
Muon-Exact,100,10,0.01,0.0,normal,0.01,4,2000,100,200,0.005443256371644848,0.0046200526053737975,51,1446.0211522579193,1,5509020000
Muon-Exact,100,10,0.01,0.0,normal,0.01,5,2000,100,200,0.005487467145243799,0.00490155178817963,53,1337.2867364883423,1,5725060000
Muon-Exact,100,10,0.01,0.0,normal,0.01,6,2000,100,200,0.005193186000258852,0.0044284187948850535,52,1311.451170682907,1,5617040000
Muon-Exact,100,10,0.01,0.0,normal,0.01,7,2000,100,200,0.01611729348173539,0.004115821451471643,52,1311.1677219867706,1,5617040000
Muon-Exact,200,10,0.01,0.0,normal,0.01,0,2000,200,100,0.013461462499323344,0.004381631558434997,51,927.8700883388519,1,5509020000
Muon-Exact,200,10,0.01,0.0,normal,0.01,1,2000,200,100,0.012888004337874966,0.003758206722512594,53,952.9853105545044,1,5725060000
Muon-Exact,200,10,0.01,0.0,normal,0.01,2,2000,200,100,0.014647982249222483,0.005025582798955535,52,944.6662082672119,1,5617040000
Muon-Exact,200,10,0.01,0.0,normal,0.01,3,2000,200,100,0.017237834404578486,0.004487209312189412,53,944.4835832118988,1,5725060000
Muon-Exact,200,10,0.01,0.0,normal,0.01,4,2000,200,100,0.005009924797076998,0.004991219537384954,52,951.5395078659058,1,5617040000
Muon-Exact,200,10,0.01,0.0,normal,0.01,5,2000,200,100,0.01484080029750521,0.005107642803421413,52,943.4609053134918,1,5617040000
Muon-Exact,200,10,0.01,0.0,normal,0.01,6,2000,200,100,0.01411158773866645,0.004416031641923136,52,948.5094513893127,1,5617040000
Muon-Exact,200,10,0.01,0.0,normal,0.01,7,2000,200,100,0.015223929258282564,0.004874956290004531,52,934.0048348903656,1,5617040000
SGD,50,5,0.01,0.0,normal,0.01,0,2000,50,100,6.517491677478788e-32,4.273915699951336e-32,49,43.48401665687561,1,245245000
SGD,50,5,0.01,0.0,normal,0.01,1,2000,50,100,5.479559581273344e-32,4.420558112402857e-32,49,42.77437973022461,1,245245000
SGD,50,5,0.01,0.0,normal,0.01,2,2000,50,100,5.347148286478076e-32,3.938282383910203e-32,49,43.36357378959656,1,245245000
SGD,50,5,0.01,0.0,normal,0.01,3,2000,50,100,5.921354669747409e-32,4.2090380414356675e-32,49,43.3008508682251,1,245245000
SGD,50,5,0.01,0.0,normal,0.01,4,2000,50,100,5.091649605230804e-32,3.8663874190862276e-32,50,42.977041482925415,1,250250000
SGD,50,5,0.01,0.0,normal,0.01,5,2000,50,100,5.942093625056367e-32,4.120510565056032e-32,49,43.61711502075195,1,245245000
SGD,50,5,0.01,0.0,normal,0.01,6,2000,50,100,5.058199813215444e-32,3.9135727027237147e-32,49,42.941288232803345,1,245245000
SGD,50,5,0.01,0.0,normal,0.01,7,2000,50,100,6.33926100467378e-32,4.0863948225770884e-32,49,43.221633434295654,1,245245000
SGD,100,5,0.01,0.0,normal,0.01,0,2000,100,50,5.080054303259378e-32,4.0332487857617226e-32,49,33.187718629837036,1,245245000
SGD,100,5,0.01,0.0,normal,0.01,1,2000,100,50,5.374683066151737e-32,3.967998279245883e-32,50,32.98882603645325,1,250250000
SGD,100,5,0.01,0.0,normal,0.01,2,2000,100,50,5.695759662005394e-32,4.0610255103846475e-32,49,33.30102276802063,1,245245000
SGD,100,5,0.01,0.0,normal,0.01,3,2000,100,50,4.970094536790804e-32,3.8864411646321595e-32,48,33.58248519897461,1,240240000
SGD,100,5,0.01,0.0,normal,0.01,4,2000,100,50,6.442254020495087e-32,3.9838197937390243e-32,49,33.68426203727722,1,245245000
SGD,100,5,0.01,0.0,normal,0.01,5,2000,100,50,4.999945247222591e-32,4.074829613261043e-32,49,33.341922998428345,1,245245000
SGD,100,5,0.01,0.0,normal,0.01,6,2000,100,50,5.842520639519116e-32,3.8094764901561384e-32,49,33.596293687820435,1,245245000
SGD,100,5,0.01,0.0,normal,0.01,7,2000,100,50,5.502839259476125e-32,4.1910546705799516e-32,48,33.42219519615173,1,240240000
SGD,100,10,0.01,0.0,normal,0.01,0,2000,100,200,1.1993540950501932e-31,1.0848402264868727e-31,56,1356.6778333187103,1,4481120000
SGD,100,10,0.01,0.0,normal,0.01,1,2000,100,200,1.243273001502e-31,1.1300745430906956e-31,56,1379.9972548484802,1,4481120000
SGD,100,10,0.01,0.0,normal,0.01,2,2000,100,200,1.2348952062439154e-31,1.1102726128849922e-31,56,1326.8286786079407,1,4481120000
SGD,100,10,0.01,0.0,normal,0.01,3,2000,100,200,1.2890234673309187e-31,1.1741340424284426e-31,56,1397.0459837913513,1,4481120000
SGD,100,10,0.01,0.0,normal,0.01,4,2000,100,200,1.3239458735300063e-31,1.1007248151856925e-31,56,1373.074475288391,1,4481120000
SGD,100,10,0.01,0.0,normal,0.01,5,2000,100,200,1.2711580596842966e-31,1.1150229190928233e-31,56,1355.6537191867828,1,4481120000
SGD,100,10,0.01,0.0,normal,0.01,6,2000,100,200,1.223857220250146e-31,1.1314549533783353e-31,56,1330.9962120056152,1,4481120000
SGD,100,10,0.01,0.0,normal,0.01,7,2000,100,200,1.2291130830683788e-31,1.1215946735455586e-31,56,1352.1321804523468,1,4481120000
SGD,200,10,0.01,0.0,normal,0.01,0,2000,200,100,2.17428219174196e-31,1.8459719534804617e-31,56,976.6848108768463,1,4481120000
SGD,200,10,0.01,0.0,normal,0.01,1,2000,200,100,2.417949313580409e-31,1.99645148041962e-31,56,998.0343511104584,1,4481120000
SGD,200,10,0.01,0.0,normal,0.01,2,2000,200,100,2.2138840133759653e-31,2.021807047791716e-31,56,989.47043633461,1,4481120000
SGD,200,10,0.01,0.0,normal,0.01,3,2000,200,100,2.2821317408445937e-31,1.9621821619547308e-31,56,952.8685274124146,1,4481120000
SGD,200,10,0.01,0.0,normal,0.01,4,2000,200,100,2.087407494273818e-31,1.9450420606536394e-31,55,958.6479933261871,1,4401100000
SGD,200,10,0.01,0.0,normal,0.01,5,2000,200,100,2.298416291026083e-31,1.991733945113499e-31,56,957.2142176628113,1,4481120000
SGD,200,10,0.01,0.0,normal,0.01,6,2000,200,100,2.202845425529088e-31,2.072658940931452e-31,57,1017.6907389163971,1,4561140000
SGD,200,10,0.01,0.0,normal,0.01,7,2000,200,100,2.2894560223304426e-31,1.9301957287507766e-31,55,1011.1448862552643,1,4401100000
