algo,d,r,lr,noise,dist,spectrum,kappa,init_scale,seed,iters,final_loss,min_loss,K_epsilon,time_s,eigen_ratio_start,eigen_ratio_end,eigen_ratio_min,eigen_ratio_max,I_conv,F_eps
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0.004887887001686491,0.004408192010095682,40,720.513956785202,2100.304085992095,2100.304085992095,2100.304085992095,2100.304085992095,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0.004811801327834312,0.004593939715851801,40,821.3458054065704,2077.3010809595344,2077.3010809595344,2077.3010809595344,2077.3010809595344,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0.0049313685891597845,0.004432890664851528,40,810.7408199310303,2068.6003564635716,2068.6003564635716,2068.6003564635716,2068.6003564635716,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0.005991198202018481,0.0045805797553993485,41,798.8602666854858,2086.9841213501895,2086.9841213501895,2086.9841213501895,2086.9841213501895,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0.006005675597540356,0.004635558628007683,41,789.9738962650299,2080.5989641682836,2080.5989641682836,2080.5989641682836,2080.5989641682836,1,174352500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,3.371170946000061e-32,2.811823112251676e-32,46,730.9602086544037,2100.304085992095,2100.304085992095,2100.304085992095,2100.304085992095,1,115115000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,3.5266581917211803e-32,2.638870691200503e-32,46,717.8347015380859,2077.3010809595344,2077.3010809595344,2077.3010809595344,2077.3010809595344,1,115115000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,2.9978989403145253e-32,2.47092598893129e-32,47,667.4665985107422,2068.6003564635716,2068.6003564635716,2068.6003564635716,2068.6003564635716,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,4.22857930906046e-32,3.201931055843248e-32,47,676.1425306797028,2086.9841213501895,2086.9841213501895,2086.9841213501895,2086.9841213501895,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,2.988909662299098e-32,2.6354617951989376e-32,48,662.8267953395844,2080.5989641682836,2080.5989641682836,2080.5989641682836,2080.5989641682836,1,120120000
