algo,d,r,lr,noise,dist,spectrum,kappa,init_scale,seed,iters,p,q,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,10,2,0.004887887001686491,0.004408192010095682,40,31.154455184936523,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,10,2,0.004811801327834312,0.004593939715851801,40,30.16339373588562,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,10,2,0.0049313685891597845,0.004432890664851528,40,30.106747150421143,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,10,2,0.005991198202018481,0.0045805797553993485,41,29.992886304855347,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,10,2,0.006005675597540356,0.004635558628007683,41,29.9175066947937,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,10,2,0.0058737529209794605,0.004514772323932758,42,30.24595308303833,1,178605000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,10,2,0.0049958590859879,0.004686441277156847,42,29.930626153945923,1,178605000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,10,2,0.004937909109008528,0.004480602408636794,41,30.08830952644348,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,8,2000,10,2,0.004930318004733876,0.004462561031751471,41,29.589683771133423,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,9,2000,10,2,0.0048619140309998764,0.004695623246968283,41,29.694453716278076,1,174352500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,5,1,0.002100964207827342,0.0017541178822321395,44,28.743013381958008,1,112310000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,5,1,0.0020558185999286606,0.0016812470267780794,47,28.82363533973694,1,119967500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,5,1,0.002163761808445644,0.0016694284991335807,45,28.982609033584595,1,114862500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,5,1,0.0024564830142846535,0.0016404897020069625,47,29.389699697494507,1,119967500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,5,1,0.0022968873546801013,0.0016594028266347953,47,29.11368465423584,1,119967500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,5,1,0.0023617640681428908,0.001578131943426755,46,29.03656768798828,1,117415000
