algo,d,r,lr,init_scale,seed,iters,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-Exact,50,5,0.01,0.001,0,2000,0.005993663864709058,0.004570512651733369,41,32.07089328765869,1,174352500
Muon-Exact,50,5,0.01,0.001,1,2000,0.004905006531439337,0.004691643813621919,40,31.84533166885376,1,170100000
Muon-Exact,50,5,0.01,0.001,2,2000,0.005937988040809211,0.004245915471127609,40,32.091540813446045,1,170100000
Muon-Exact,50,5,0.01,0.001,3,2000,0.004987390063408507,0.004736624901735529,41,32.56997728347778,1,174352500
Muon-Exact,50,5,0.01,0.001,4,2000,0.005986082774935255,0.004539251537720588,41,31.91964364051819,1,174352500
Muon-Exact,50,5,0.01,0.001,5,2000,0.00484212300372372,0.004726189973862632,40,31.973852157592773,1,170100000
Muon-Exact,50,5,0.01,0.001,6,2000,0.0061286894630354525,0.00458276595460135,42,31.865785121917725,1,178605000
Muon-Exact,50,5,0.01,0.001,7,2000,0.006023748021836025,0.004749919798558441,43,32.1048526763916,1,182857500
Muon-Exact,50,5,0.01,0.01,0,2000,0.004887887001686491,0.004408192010095682,40,31.92411708831787,1,170100000
Muon-Exact,50,5,0.01,0.01,1,2000,0.004811801327834312,0.004593939715851801,40,31.79135823249817,1,170100000
Muon-Exact,50,5,0.01,0.01,2,2000,0.0049313685891597845,0.004432890664851528,40,30.74649739265442,1,170100000
Muon-Exact,50,5,0.01,0.01,3,2000,0.005991198202018481,0.0045805797553993485,41,29.79772138595581,1,174352500
Muon-Exact,50,5,0.01,0.01,4,2000,0.006005675597540356,0.004635558628007683,41,31.567042350769043,1,174352500
Muon-Exact,50,5,0.01,0.01,5,2000,0.0058737529209794605,0.004514772323932758,42,36.62887477874756,1,178605000
Muon-Exact,50,5,0.01,0.01,6,2000,0.0049958590859879,0.004686441277156847,42,34.872169733047485,1,178605000
Muon-Exact,50,5,0.01,0.01,7,2000,0.004937909109008528,0.004480602408636794,41,33.32734417915344,1,174352500
Muon-Exact,50,5,0.01,0.1,0,2000,0.005017065354741798,0.0046167256047046235,53,36.5442271232605,1,225382500
Muon-Exact,50,5,0.01,0.1,1,2000,0.00484688523088833,0.004696966557031101,53,36.27926301956177,1,225382500
Muon-Exact,50,5,0.01,0.1,2,2000,0.004808042310924594,0.004643254832177742,53,36.410417795181274,1,225382500
Muon-Exact,50,5,0.01,0.1,3,2000,0.00493859802557824,0.004291030925816126,55,36.62060260772705,1,233887500
Muon-Exact,50,5,0.01,0.1,4,2000,0.004825349465731992,0.004651094900466519,54,35.03076219558716,1,229635000
Muon-Exact,50,5,0.01,0.1,5,2000,0.006012170468900925,0.004660535378899938,57,31.842047214508057,1,242392500
Muon-Exact,50,5,0.01,0.1,6,2000,0.004861801870042313,0.004624616853771488,53,32.01763939857483,1,225382500
Muon-Exact,50,5,0.01,0.1,7,2000,0.00510847078935931,0.004566346848643967,53,31.751993894577026,1,225382500
Muon-Exact,50,5,0.01,1.0,0,2000,0.006107039562263292,0.0043169737287414,104,31.86937665939331,1,442260000
Muon-Exact,50,5,0.01,1.0,1,2000,0.004807164566220201,0.0045519792846019464,104,31.981414318084717,1,442260000
Muon-Exact,50,5,0.01,1.0,2,2000,0.0060217610659611485,0.004466808624178439,102,31.874512195587158,1,433755000
Muon-Exact,50,5,0.01,1.0,3,2000,0.004894079907755064,0.004649742301902847,103,30.6058247089386,1,438007500
