algo,d,r,lr,init_type,seed,iters,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-Exact,50,5,0.01,random,0,2000,0.004887887001686491,0.004408192010095682,40,31.495960235595703,1,170100000
Muon-Exact,50,5,0.01,random,1,2000,0.004811801327834312,0.004593939715851801,40,30.585068225860596,1,170100000
Muon-Exact,50,5,0.01,random,2,2000,0.0049313685891597845,0.004432890664851528,40,29.803078651428223,1,170100000
Muon-Exact,50,5,0.01,random,3,2000,0.005991198202018481,0.0045805797553993485,41,29.75458002090454,1,174352500
Muon-Exact,50,5,0.01,random,4,2000,0.006005675597540356,0.004635558628007683,41,29.892653703689575,1,174352500
Muon-Exact,50,5,0.01,random,5,2000,0.0058737529209794605,0.004514772323932758,42,29.941812992095947,1,178605000
Muon-Exact,50,5,0.01,random,6,2000,0.0049958590859879,0.004686441277156847,42,29.711979627609253,1,178605000
Muon-Exact,50,5,0.01,random,7,2000,0.004937909109008528,0.004480602408636794,41,29.829978227615356,1,174352500
Muon-Exact,50,5,0.01,orthogonal,0,2000,0.006005928202962247,0.004574504969327527,41,29.5871479511261,1,174352500
Muon-Exact,50,5,0.01,orthogonal,1,2000,0.004944443823827595,0.004749384157199982,39,29.707078456878662,1,165847500
Muon-Exact,50,5,0.01,orthogonal,2,2000,0.005882337235678535,0.004599463332267194,40,29.75285267829895,1,170100000
Muon-Exact,50,5,0.01,orthogonal,3,2000,0.006179838664045933,0.00432453589708279,42,29.746805906295776,1,178605000
Muon-Exact,50,5,0.01,orthogonal,4,2000,0.005969269787265399,0.004353492489322285,41,30.045363903045654,1,174352500
Muon-Exact,50,5,0.01,orthogonal,5,2000,0.006006168718015004,0.004576282712808473,41,30.16819143295288,1,174352500
Muon-Exact,50,5,0.01,orthogonal,6,2000,0.006126086127119781,0.004398155154613677,41,29.910521268844604,1,174352500
Muon-Exact,50,5,0.01,orthogonal,7,2000,0.006057924762335297,0.0044444681593156276,41,30.034077644348145,1,174352500
Muon-Exact,50,5,0.01,spectral,0,2000,0.006018304441393722,0.004538989935518787,40,30.060730457305908,1,170100000
Muon-Exact,50,5,0.01,spectral,1,2000,0.0059094187350678335,0.004771907097607909,40,30.17766571044922,1,170100000
Muon-Exact,50,5,0.01,spectral,2,2000,0.004934697647372158,0.004692174783847737,40,29.939117670059204,1,170100000
Muon-Exact,50,5,0.01,spectral,3,2000,0.004825288241489643,0.004695584201383559,41,29.992120504379272,1,174352500
Muon-Exact,50,5,0.01,spectral,4,2000,0.006210757976848486,0.004723837149342375,40,30.111955165863037,1,170100000
Muon-Exact,50,5,0.01,spectral,5,2000,0.00601754410936487,0.004456897499595633,41,30.01867437362671,1,174352500
Muon-Exact,50,5,0.01,spectral,6,2000,0.00611251806332797,0.004395045831193294,42,30.00549077987671,1,178605000
Muon-Exact,50,5,0.01,spectral,7,2000,0.004925043322877797,0.004587746216065711,42,30.04724955558777,1,178605000
SGD,50,5,0.01,random,0,2000,3.371170946000061e-32,2.811823112251676e-32,46,27.924859523773193,1,115115000
SGD,50,5,0.01,random,1,2000,3.5266581917211803e-32,2.638870691200503e-32,46,27.898892164230347,1,115115000
SGD,50,5,0.01,random,2,2000,2.9978989403145253e-32,2.47092598893129e-32,47,27.8587589263916,1,117617500
SGD,50,5,0.01,random,3,2000,4.22857930906046e-32,3.201931055843248e-32,47,27.855388879776,1,117617500
SGD,50,5,0.01,random,4,2000,2.988909662299098e-32,2.6354617951989376e-32,48,27.603873014450073,1,120120000
SGD,50,5,0.01,random,5,2000,3.5922156433219063e-32,2.7510224066870326e-32,49,27.64736294746399,1,122622500
SGD,50,5,0.01,random,6,2000,4.0360606434805277e-32,2.964088036434592e-32,48,28.828012466430664,1,120120000
SGD,50,5,0.01,random,7,2000,2.9121408910096076e-32,2.530989725365652e-32,47,28.970012187957764,1,117617500
SGD,50,5,0.01,orthogonal,0,2000,3.170072563444437e-32,2.5874233847813974e-32,46,28.808918476104736,1,115115000
SGD,50,5,0.01,orthogonal,1,2000,3.4425082939198257e-32,2.4271459901767225e-32,46,28.62716317176819,1,115115000
SGD,50,5,0.01,orthogonal,2,2000,2.898031046754541e-32,2.3954247202864494e-32,46,28.892229080200195,1,115115000
SGD,50,5,0.01,orthogonal,3,2000,4.0298329684494193e-32,2.5972624793847857e-32,47,28.858660459518433,1,117617500
SGD,50,5,0.01,orthogonal,4,2000,3.533393228922013e-32,2.3428074114261288e-32,48,28.6388418674469,1,120120000
SGD,50,5,0.01,orthogonal,5,2000,4.0206002408519596e-32,2.7749039379974345e-32,48,28.9078426361084,1,120120000
SGD,50,5,0.01,orthogonal,6,2000,3.861922872733895e-32,2.86918302360005e-32,48,28.572646379470825,1,120120000
SGD,50,5,0.01,orthogonal,7,2000,3.5264018022973336e-32,2.7614368728613066e-32,47,28.945485591888428,1,117617500
SGD,50,5,0.01,spectral,0,2000,3.45658714273985e-32,2.3670259804767982e-32,46,28.518390655517578,1,115115000
SGD,50,5,0.01,spectral,1,2000,3.1804770990424357e-32,2.3173535388720672e-32,46,28.54315495491028,1,115115000
SGD,50,5,0.01,spectral,2,2000,2.9179439586732893e-32,2.2801433686402906e-32,46,28.57050085067749,1,115115000
SGD,50,5,0.01,spectral,3,2000,3.747195526873301e-32,2.674004769137541e-32,47,28.807628870010376,1,117617500
SGD,50,5,0.01,spectral,4,2000,3.48017948363204e-32,2.3712964292019233e-32,47,28.68133854866028,1,117617500
SGD,50,5,0.01,spectral,5,2000,3.6695946936625246e-32,2.728326525998644e-32,48,28.500722646713257,1,120120000
SGD,50,5,0.01,spectral,6,2000,3.8666943641711145e-32,2.78513062600213e-32,48,28.747424840927124,1,120120000
SGD,50,5,0.01,spectral,7,2000,3.3900700363590224e-32,2.310220375840543e-32,47,28.413217067718506,1,117617500
