algo,d,r,lr,kappa,seed,iters,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-Exact,50,5,0.01,10,0,2000,0.004983503980488582,0.004522778758925837,34,32.367772340774536,1,144585000
Muon-Exact,50,5,0.01,10,1,2000,0.0060297890347747,0.0045896893364858905,34,30.460813760757446,1,144585000
Muon-Exact,50,5,0.01,10,2,2000,0.006109642888795837,0.0045864913679349965,35,30.367206573486328,1,148837500
Muon-Exact,50,5,0.01,10,3,2000,0.004852103032258684,0.004348133091445144,34,30.687767505645752,1,144585000
Muon-Exact,50,5,0.01,10,4,2000,0.006039578240151345,0.004285411001426726,35,30.093506336212158,1,148837500
Muon-Exact,50,5,0.01,10,5,2000,0.004887416862948512,0.0047035032518523805,36,30.08133292198181,1,153090000
Muon-Exact,50,5,0.01,10,6,2000,0.005967641610445712,0.004473861526150162,35,30.210744857788086,1,148837500
Muon-Exact,50,5,0.01,10,7,2000,0.004968657099695674,0.004743542914145893,35,30.05317711830139,1,148837500
Muon-Exact,50,5,0.01,100,0,2000,0.004804583153909874,0.0046903797349504926,33,29.77765655517578,1,140332500
Muon-Exact,50,5,0.01,100,1,2000,0.005877357353429888,0.004380248481396859,34,29.71810793876648,1,144585000
Muon-Exact,50,5,0.01,100,2,2000,0.004874584497875576,0.004533349967598301,32,29.02368998527527,1,136080000
Muon-Exact,50,5,0.01,100,3,2000,0.004987945847290166,0.004367726296058417,34,29.23100757598877,1,144585000
Muon-Exact,50,5,0.01,100,4,2000,0.005986195128084285,0.004452166082597095,34,30.355466604232788,1,144585000
Muon-Exact,50,5,0.01,100,5,2000,0.004875842101597069,0.004363946310399494,35,29.898059606552124,1,148837500
Muon-Exact,50,5,0.01,100,6,2000,0.0049675629565186655,0.004638559434112214,34,29.18695855140686,1,144585000
Muon-Exact,50,5,0.01,100,7,2000,0.004903827985775152,0.004512255806175763,34,29.260793209075928,1,144585000
Muon-Exact,50,5,0.01,1000,0,2000,0.004948726466245413,0.00470615224329251,33,29.406225442886353,1,140332500
Muon-Exact,50,5,0.01,1000,1,2000,0.004815732089546411,0.0045161600719602285,34,29.324918746948242,1,144585000
Muon-Exact,50,5,0.01,1000,2,2000,0.005936463434634158,0.004545901196678573,33,29.188644647598267,1,140332500
Muon-Exact,50,5,0.01,1000,3,2000,0.004913322008856021,0.004668619995613131,35,29.251158952713013,1,148837500
Muon-Exact,50,5,0.01,1000,4,2000,0.00488939176996371,0.004415638536486026,34,29.303800582885742,1,144585000
Muon-Exact,50,5,0.01,1000,5,2000,0.0058487309885279105,0.0045735056902875505,36,29.367517948150635,1,153090000
