algo,d,r,lr,dist,seed,iters,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-Exact,50,5,0.01,normal,0,2000,0.004887887001686491,0.004408192010095682,40,32.86456060409546,1,170100000
Muon-Exact,50,5,0.01,normal,1,2000,0.004811801327834312,0.004593939715851801,40,32.583837270736694,1,170100000
Muon-Exact,50,5,0.01,normal,2,2000,0.0049313685891597845,0.004432890664851528,40,32.63944172859192,1,170100000
Muon-Exact,50,5,0.01,normal,3,2000,0.005991198202018481,0.0045805797553993485,41,32.100433588027954,1,174352500
Muon-Exact,50,5,0.01,normal,4,2000,0.006005675597540356,0.004635558628007683,41,31.324265241622925,1,174352500
Muon-Exact,50,5,0.01,normal,5,2000,0.0058737529209794605,0.004514772323932758,42,32.21014070510864,1,178605000
Muon-Exact,50,5,0.01,normal,6,2000,0.0049958590859879,0.004686441277156847,42,31.713809728622437,1,178605000
Muon-Exact,50,5,0.01,normal,7,2000,0.004937909109008528,0.004480602408636794,41,31.077520608901978,1,174352500
Muon-Exact,50,5,0.01,uniform,0,2000,0.0020185152087352103,0.0014725601386657682,30,31.27830672264099,1,127575000
Muon-Exact,50,5,0.01,uniform,1,2000,0.002024384662240492,0.0015562640485853943,31,29.7002694606781,1,131827500
Muon-Exact,50,5,0.01,uniform,2,2000,0.0016123896165622675,0.0014061192510015925,31,29.338631868362427,1,131827500
Muon-Exact,50,5,0.01,uniform,3,2000,0.0016008005208131763,0.0015315221411205955,31,30.42147183418274,1,131827500
Muon-Exact,50,5,0.01,uniform,4,2000,0.0019670125494955053,0.0015154702084872154,30,30.066871643066406,1,127575000
Muon-Exact,50,5,0.01,uniform,5,2000,0.0020068504743831032,0.0014109697261249579,32,31.258838415145874,1,136080000
Muon-Exact,50,5,0.01,uniform,6,2000,0.001993465186566834,0.0014676924271559068,31,30.55220675468445,1,131827500
Muon-Exact,50,5,0.01,uniform,7,2000,0.0019752488161050154,0.0015291059646192664,30,30.649551153182983,1,127575000
Muon-Exact,50,5,0.01,rademacher,0,2000,0.0048764911590292595,0.004532711574773594,40,30.679017543792725,1,170100000
Muon-Exact,50,5,0.01,rademacher,1,2000,0.005866934040734853,0.004381968943093705,41,30.4858717918396,1,174352500
Muon-Exact,50,5,0.01,rademacher,2,2000,0.004942937808390797,0.004491016068013186,40,30.552067279815674,1,170100000
Muon-Exact,50,5,0.01,rademacher,3,2000,0.004811077648582002,0.004376817654262623,41,30.330235719680786,1,174352500
Muon-Exact,50,5,0.01,rademacher,4,2000,0.0049087258114984605,0.004522347487250076,41,30.61469292640686,1,174352500
Muon-Exact,50,5,0.01,rademacher,5,2000,0.004919990011510329,0.00453098408699102,41,30.342820644378662,1,174352500
Muon-Exact,50,5,0.01,rademacher,6,2000,0.006001544796448901,0.004494169729797099,41,30.45858931541443,1,174352500
Muon-Exact,50,5,0.01,rademacher,7,2000,0.004860565654727486,0.004527222605187828,40,30.378113746643066,1,170100000
Muon-Exact,50,5,0.01,sparse,0,2000,2.4556403614483756e-06,1.8427257815047958e-06,1,30.42871880531311,1,4252500
Muon-Exact,50,5,0.01,sparse,1,2000,2.005907312812807e-06,1.8979673786657693e-06,1,30.474085807800293,1,4252500
Muon-Exact,50,5,0.01,sparse,2,2000,1.992866677501294e-06,1.8869894483841571e-06,1,30.43352437019348,1,4252500
Muon-Exact,50,5,0.01,sparse,3,2000,2.530438350926735e-06,1.7856381844055803e-06,1,30.162416219711304,1,4252500
Muon-Exact,50,5,0.01,sparse,4,2000,2.0146715931670647e-06,1.8864773937074094e-06,1,30.534318208694458,1,4252500
Muon-Exact,50,5,0.01,sparse,5,2000,1.950537358838339e-06,1.8607394837414325e-06,1,31.04595923423767,1,4252500
Muon-Exact,50,5,0.01,sparse,6,2000,2.389435697545235e-06,1.7025165841454756e-06,1,31.28478693962097,1,4252500
Muon-Exact,50,5,0.01,sparse,7,2000,2.4611280132772245e-06,1.8641027409623532e-06,1,31.083568572998047,1,4252500
Muon-Exact,50,5,0.01,sphere,0,2000,2.400673948419024e-06,1.7053748110888493e-06,1,30.83143138885498,1,4252500
Muon-Exact,50,5,0.01,sphere,1,2000,1.9363398277886073e-06,1.8771072306426206e-06,1,30.86004376411438,1,4252500
Muon-Exact,50,5,0.01,sphere,2,2000,1.9497549304814956e-06,1.8406788000866315e-06,1,30.468558073043823,1,4252500
Muon-Exact,50,5,0.01,sphere,3,2000,2.0004641296147193e-06,1.8238428042635107e-06,1,30.109314441680908,1,4252500
Muon-Exact,50,5,0.01,sphere,4,2000,1.9447592799056944e-06,1.828306568669987e-06,1,30.70267152786255,1,4252500
Muon-Exact,50,5,0.01,sphere,5,2000,2.3462677970538597e-06,1.807481898567135e-06,1,30.618841886520386,1,4252500
Muon-Exact,50,5,0.01,sphere,6,2000,2.455039792071147e-06,1.795551924347059e-06,1,30.078768730163574,1,4252500
Muon-Exact,50,5,0.01,sphere,7,2000,1.988490360515049e-06,1.7195480936542928e-06,1,30.31276535987854,1,4252500
SGD,50,5,0.01,normal,0,2000,3.371170946000061e-32,2.811823112251676e-32,46,28.247201919555664,1,115115000
SGD,50,5,0.01,normal,1,2000,3.5266581917211803e-32,2.638870691200503e-32,46,28.597238779067993,1,115115000
SGD,50,5,0.01,normal,2,2000,2.9978989403145253e-32,2.47092598893129e-32,47,28.57596707344055,1,117617500
SGD,50,5,0.01,normal,3,2000,4.22857930906046e-32,3.201931055843248e-32,47,28.03441023826599,1,117617500
SGD,50,5,0.01,normal,4,2000,2.988909662299098e-32,2.6354617951989376e-32,48,27.29239511489868,1,120120000
SGD,50,5,0.01,normal,5,2000,3.5922156433219063e-32,2.7510224066870326e-32,49,28.175641536712646,1,122622500
SGD,50,5,0.01,normal,6,2000,4.0360606434805277e-32,2.964088036434592e-32,48,27.29080820083618,1,120120000
SGD,50,5,0.01,normal,7,2000,2.9121408910096076e-32,2.530989725365652e-32,47,27.19737982749939,1,117617500
SGD,50,5,0.01,uniform,0,2000,8.058900379745945e-33,6.578088956693057e-33,37,27.170507192611694,1,92592500
SGD,50,5,0.01,uniform,1,2000,9.05496426359318e-33,7.3125874799682e-33,40,26.81450867652893,1,100100000
SGD,50,5,0.01,uniform,2,2000,1.0854661537187985e-32,7.217976171450177e-33,39,26.884044647216797,1,97597500
SGD,50,5,0.01,uniform,3,2000,9.801903090602851e-33,6.988504627841977e-33,38,27.047942638397217,1,95095000
SGD,50,5,0.01,uniform,4,2000,1.0648942314551144e-32,7.158609568993537e-33,39,27.110201120376587,1,97597500
SGD,50,5,0.01,uniform,5,2000,1.060497976622587e-32,7.79224334188338e-33,39,27.031209230422974,1,97597500
SGD,50,5,0.01,uniform,6,2000,9.23385908130245e-33,7.774148628202754e-33,39,26.832337617874146,1,97597500
SGD,50,5,0.01,uniform,7,2000,8.056237179744721e-33,7.118519945415806e-33,36,27.58983564376831,1,90090000
SGD,50,5,0.01,rademacher,0,2000,5.115399932563744e-32,3.775507599835455e-32,47,28.233468532562256,1,117617500
SGD,50,5,0.01,rademacher,1,2000,4.4038663183160955e-32,3.623502375268477e-32,47,27.233457326889038,1,117617500
SGD,50,5,0.01,rademacher,2,2000,4.54322059056088e-32,3.5372640471836774e-32,47,28.472328424453735,1,117617500
SGD,50,5,0.01,rademacher,3,2000,4.87761860309862e-32,3.8241156642193584e-32,47,28.48571228981018,1,117617500
SGD,50,5,0.01,rademacher,4,2000,4.710203531564114e-32,3.8049984021088845e-32,47,28.309163570404053,1,117617500
SGD,50,5,0.01,rademacher,5,2000,5.197796030409491e-32,3.7452404070531943e-32,47,28.413756608963013,1,117617500
SGD,50,5,0.01,rademacher,6,2000,5.870234470492295e-32,4.257711105955194e-32,48,28.037137746810913,1,120120000
SGD,50,5,0.01,rademacher,7,2000,4.818178386483754e-32,3.8017592286836684e-32,47,27.94076108932495,1,117617500
SGD,50,5,0.01,sparse,0,2000,0.00041277440353094057,0.00041277440353094057,1,27.454352378845215,1,2502500
SGD,50,5,0.01,sparse,1,2000,0.0004168058014342599,0.0004168058014342599,1,26.88974928855896,1,2502500
SGD,50,5,0.01,sparse,2,2000,0.00043308431064424007,0.00043308431064424007,1,27.85359263420105,1,2502500
SGD,50,5,0.01,sparse,3,2000,0.0004049363542892167,0.0004049363542892167,1,27.56565546989441,1,2502500
SGD,50,5,0.01,sparse,4,2000,0.00042942572299219854,0.00042942572299219854,1,28.045655250549316,1,2502500
SGD,50,5,0.01,sparse,5,2000,0.00045409483931000495,0.00045409483931000495,1,27.87939190864563,1,2502500
