algo,d,r,lr,seed,iters,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-Exact,50,5,0.01,0,2000,0.004887887001686491,0.004408192010095682,40,30.334027767181396,1,170100000
Muon-Exact,50,5,0.01,1,2000,0.004811801327834312,0.004593939715851801,40,31.704389810562134,1,170100000
Muon-Exact,50,5,0.01,2,2000,0.0049313685891597845,0.004432890664851528,40,31.99464511871338,1,170100000
Muon-Exact,50,5,0.01,3,2000,0.005991198202018481,0.0045805797553993485,41,32.33149981498718,1,174352500
Muon-Exact,50,5,0.01,4,2000,0.006005675597540356,0.004635558628007683,41,31.775845289230347,1,174352500
Muon-Exact,50,5,0.01,5,2000,0.0058737529209794605,0.004514772323932758,42,32.35409474372864,1,178605000
Muon-Exact,50,5,0.01,6,2000,0.0049958590859879,0.004686441277156847,42,32.06849718093872,1,178605000
Muon-Exact,50,5,0.01,7,2000,0.004937909109008528,0.004480602408636794,41,31.600608348846436,1,174352500
Muon-Exact,50,5,0.01,8,2000,0.004930318004733876,0.004462561031751471,41,31.661802291870117,1,174352500
Muon-Exact,50,5,0.01,9,2000,0.0048619140309998764,0.004695623246968283,41,31.48117685317993,1,174352500
Muon-Exact,50,5,0.01,10,2000,0.0060461332238081235,0.0046812134329758896,41,31.414757013320923,1,174352500
Muon-Exact,50,5,0.01,11,2000,0.004878745261154877,0.004571684687897267,41,31.285868644714355,1,174352500
Muon-Exact,50,5,0.01,12,2000,0.0048378236946153355,0.00473093137502387,42,31.470372438430786,1,178605000
Muon-Exact,50,5,0.01,13,2000,0.006083347254584848,0.004639231399765903,41,31.98480248451233,1,174352500
Muon-Exact,50,5,0.01,14,2000,0.005960443345329085,0.004552742089304593,41,31.529716730117798,1,174352500
Muon-Exact,50,5,0.01,15,2000,0.005932034990469359,0.004412205887374607,42,31.634340286254883,1,178605000
Muon-Exact,50,5,0.01,16,2000,0.006030129303722011,0.004401912921867216,43,31.499990224838257,1,182857500
Muon-Exact,50,5,0.01,17,2000,0.0060658320119425235,0.004684660135696763,41,31.077404260635376,1,174352500
Muon-Exact,50,5,0.01,18,2000,0.005923358164520305,0.004559280870128817,41,30.703693628311157,1,174352500
Muon-Exact,50,5,0.01,19,2000,0.00488052363132979,0.004630812646265842,41,30.300221920013428,1,174352500
Muon-Exact,50,5,0.01,20,2000,0.004875954058214055,0.004654860697430347,41,30.374615907669067,1,174352500
Muon-Exact,50,5,0.01,21,2000,0.00485053261229599,0.004625623737662632,40,30.328793048858643,1,170100000
Muon-Exact,50,5,0.01,22,2000,0.0047989360469819385,0.00471092267240536,42,30.336557865142822,1,178605000
Muon-Exact,50,5,0.01,23,2000,0.004881691425157715,0.0045900215402312,42,30.491785049438477,1,178605000
Muon-Exact,50,5,0.01,24,2000,0.004902907209319778,0.004717203152316902,40,30.448609590530396,1,170100000
Muon-Exact,50,5,0.01,25,2000,0.006101576796432746,0.004806688431455065,42,30.955581188201904,1,178605000
Muon-Exact,50,5,0.01,26,2000,0.006058781606445678,0.004661369717962799,41,31.635775566101074,1,174352500
Muon-Exact,50,5,0.01,27,2000,0.0048056125452461285,0.004363301158614887,42,31.83922815322876,1,178605000
Muon-Exact,50,5,0.01,28,2000,0.006323116996337598,0.004667290182336928,39,30.404558420181274,1,165847500
Muon-Exact,50,5,0.01,29,2000,0.004976231473355414,0.004501269475418228,41,30.4550724029541,1,174352500
Muon-Exact,50,5,0.01,30,2000,0.004786622961293307,0.0045023653659645585,41,30.69927668571472,1,174352500
Muon-Exact,50,5,0.01,31,2000,0.00483797893354826,0.004386657205288689,40,30.709362268447876,1,170100000
Muon-Exact,50,5,0.01,32,2000,0.005021608923404348,0.004675260157020678,41,30.516184091567993,1,174352500
Muon-Exact,50,5,0.01,33,2000,0.004859670530137569,0.004395353324724757,41,30.623578310012817,1,174352500
Muon-Exact,50,5,0.01,34,2000,0.004841743409439673,0.004680225390509703,40,30.690203428268433,1,170100000
Muon-Exact,50,5,0.01,35,2000,0.005937081115694227,0.004674264406199192,41,31.03904438018799,1,174352500
Muon-Exact,50,5,0.01,36,2000,0.005930630977077458,0.004272570764730025,42,30.961778163909912,1,178605000
Muon-Exact,50,5,0.01,37,2000,0.004874255181880019,0.004368047063615582,41,31.132676362991333,1,174352500
Muon-Exact,50,5,0.01,38,2000,0.004827318111420581,0.00472395716109197,41,30.81477642059326,1,174352500
Muon-Exact,50,5,0.01,39,2000,0.0048198362271750575,0.004467153045469843,42,31.067506551742554,1,178605000
Muon-Exact,50,5,0.01,40,2000,0.004979994934019709,0.004149316601494675,42,31.0313720703125,1,178605000
Muon-Exact,50,5,0.01,41,2000,0.005967892447957988,0.00455930070546393,42,30.467371940612793,1,178605000
Muon-Exact,50,5,0.01,42,2000,0.00606723305322698,0.004541279815204696,41,30.65202260017395,1,174352500
Muon-Exact,50,5,0.01,43,2000,0.006103296036008483,0.004509527489215785,41,30.918471097946167,1,174352500
Muon-Exact,50,5,0.01,44,2000,0.005968869012851364,0.004611690283486141,41,32.04227137565613,1,174352500
Muon-Exact,50,5,0.01,45,2000,0.006000285173242286,0.004702977346810686,39,31.19517183303833,1,165847500
Muon-Exact,50,5,0.01,46,2000,0.004996634468690703,0.004722506371161279,41,31.074070930480957,1,174352500
Muon-Exact,50,5,0.01,47,2000,0.006054547884680059,0.004548903106895975,40,30.695990324020386,1,170100000
Muon-Exact,50,5,0.01,48,2000,0.004941130896058409,0.004796735981914142,41,29.747523307800293,1,174352500
Muon-Exact,50,5,0.01,49,2000,0.00615451592226952,0.004283377576561356,42,30.036152124404907,1,178605000
SGD,50,5,0.01,0,2000,3.371170946000061e-32,2.811823112251676e-32,46,28.63718891143799,1,115115000
SGD,50,5,0.01,1,2000,3.5266581917211803e-32,2.638870691200503e-32,46,28.887580394744873,1,115115000
SGD,50,5,0.01,2,2000,2.9978989403145253e-32,2.47092598893129e-32,47,28.601412057876587,1,117617500
SGD,50,5,0.01,3,2000,4.22857930906046e-32,3.201931055843248e-32,47,28.905076503753662,1,117617500
SGD,50,5,0.01,4,2000,2.988909662299098e-32,2.6354617951989376e-32,48,29.682275533676147,1,120120000
SGD,50,5,0.01,5,2000,3.5922156433219063e-32,2.7510224066870326e-32,49,28.850499391555786,1,122622500
SGD,50,5,0.01,6,2000,4.0360606434805277e-32,2.964088036434592e-32,48,29.902737855911255,1,120120000
SGD,50,5,0.01,7,2000,2.9121408910096076e-32,2.530989725365652e-32,47,29.962157726287842,1,117617500
SGD,50,5,0.01,8,2000,4.363377327585638e-32,2.9739885952865965e-32,49,29.691386461257935,1,122622500
SGD,50,5,0.01,9,2000,3.8426683881148837e-32,2.647455523927609e-32,47,29.808815717697144,1,117617500
SGD,50,5,0.01,10,2000,3.3072995858803353e-32,2.5470387403334735e-32,48,29.44817280769348,1,120120000
SGD,50,5,0.01,11,2000,3.9573527014782824e-32,3.1146813136110914e-32,50,29.128299713134766,1,125125000
SGD,50,5,0.01,12,2000,3.585081577510721e-32,3.031873548239732e-32,47,28.65688681602478,1,117617500
SGD,50,5,0.01,13,2000,3.47373845167428e-32,2.6372926323523204e-32,47,28.8493595123291,1,117617500
SGD,50,5,0.01,14,2000,3.5317799616670353e-32,2.8440063044020484e-32,48,27.850802421569824,1,120120000
SGD,50,5,0.01,15,2000,4.6847908859479247e-32,3.027330760983408e-32,49,27.094538688659668,1,122622500
SGD,50,5,0.01,16,2000,3.74004521102821e-32,3.045155242618712e-32,49,26.837460041046143,1,122622500
SGD,50,5,0.01,17,2000,4.033942120541702e-32,3.182459603178939e-32,48,26.441656827926636,1,120120000
SGD,50,5,0.01,18,2000,3.967112351471465e-32,2.697404517035292e-32,48,26.363635301589966,1,120120000
SGD,50,5,0.01,19,2000,3.8812134685393636e-32,2.79164267662659e-32,48,26.487903594970703,1,120120000
SGD,50,5,0.01,20,2000,3.499771306917873e-32,2.593459971450836e-32,46,27.41657018661499,1,115115000
SGD,50,5,0.01,21,2000,3.62083014747064e-32,2.623796678267027e-32,47,27.50935673713684,1,117617500
SGD,50,5,0.01,22,2000,4.120457301056007e-32,2.8263768231736135e-32,48,26.497737169265747,1,120120000
SGD,50,5,0.01,23,2000,3.9676419822061715e-32,2.80014806474349e-32,46,27.72562861442566,1,115115000
SGD,50,5,0.01,24,2000,3.3296873177776213e-32,2.683263376418629e-32,48,27.11874794960022,1,120120000
SGD,50,5,0.01,25,2000,5.123796987121273e-32,3.109288709766807e-32,49,27.235888481140137,1,122622500
SGD,50,5,0.01,26,2000,3.9619343082600475e-32,2.6349375811421996e-32,48,26.813003301620483,1,120120000
SGD,50,5,0.01,27,2000,3.371148978361633e-32,2.831079703356564e-32,47,26.218787670135498,1,117617500
SGD,50,5,0.01,28,2000,3.762987851490723e-32,2.846047790143099e-32,47,26.089186906814575,1,117617500
SGD,50,5,0.01,29,2000,3.4206153605086424e-32,2.5049897463480627e-32,48,25.625121116638184,1,120120000
SGD,50,5,0.01,30,2000,3.7242670299588173e-32,2.780830987401286e-32,48,25.68137836456299,1,120120000
SGD,50,5,0.01,31,2000,3.0885813517459986e-32,2.5752379658379485e-32,47,25.590676307678223,1,117617500
SGD,50,5,0.01,32,2000,3.8890255218762846e-32,2.6406774542295814e-32,49,23.713534832000732,1,122622500
SGD,50,5,0.01,33,2000,3.92267633282959e-32,2.4793844325057957e-32,47,23.179579496383667,1,117617500
SGD,50,5,0.01,34,2000,3.4532814645462415e-32,2.7073591674353436e-32,48,25.596018075942993,1,120120000
SGD,50,5,0.01,35,2000,3.948233423191609e-32,2.529583796506249e-32,48,25.332646131515503,1,120120000
SGD,50,5,0.01,36,2000,4.5065412547700247e-32,3.1463098981227906e-32,48,25.624740839004517,1,120120000
SGD,50,5,0.01,37,2000,3.5461356629165654e-32,2.5743291676454407e-32,47,23.64540982246399,1,117617500
SGD,50,5,0.01,38,2000,4.131158249309509e-32,2.877998967920483e-32,50,24.010438680648804,1,125125000
SGD,50,5,0.01,39,2000,4.3920880529999524e-32,3.1939140715231824e-32,48,23.549495697021484,1,120120000
SGD,50,5,0.01,40,2000,4.0593294883273714e-32,2.709959172860266e-32,48,23.652581453323364,1,120120000
SGD,50,5,0.01,41,2000,4.6691523347995e-32,3.140854701555314e-32,48,23.391512155532837,1,120120000
SGD,50,5,0.01,42,2000,3.078956817775477e-32,2.937120503314864e-32,49,23.759153366088867,1,122622500
SGD,50,5,0.01,43,2000,3.357425824728212e-32,2.4601266376946924e-32,47,23.54981803894043,1,117617500
SGD,50,5,0.01,44,2000,3.852597760684415e-32,2.793548143565318e-32,48,24.45116353034973,1,120120000
SGD,50,5,0.01,45,2000,3.2199779222018176e-32,2.576486209183154e-32,46,24.334741592407227,1,115115000
SGD,50,5,0.01,46,2000,3.94800291345139e-32,2.9152503650901317e-32,48,24.006044387817383,1,120120000
SGD,50,5,0.01,47,2000,3.679996219994985e-32,2.720024865158674e-32,47,23.902841091156006,1,117617500
SGD,50,5,0.01,48,2000,3.688863622756119e-32,2.5514334717253225e-32,48,24.237022399902344,1,120120000
SGD,50,5,0.01,49,2000,4.410679295494365e-32,3.258679484434279e-32,49,24.27186942100525,1,122622500
